cohort	trait	description	definition	n	n_cases	n_controls
UKBB	eBMD	Estimated heel bone mineral density	Mean of left and right heel bone mineral density (4105, 4124)	326159	NA	NA
UKBB	eGFR	Estimated glomerular filtration rate (serum creatinine)	eGFR based on serum creatinine (30700) using the CKD-EPI formula	345067	NA	NA
UKBB	eGFRcys	Estimated glomerular filtration rate (cystain C)	eGFR based on cystain C (30720) using the CKD-EPI formula	345219	NA	NA
UKBB	Eosino	Eosinophil count	30150	350726	NA	NA
UKBB	FedUp_Feelings	Fed-up feelings	1960	353716	143312	210404
UKBB	FEV1FVC	FEV1/FVC ratio	FEV1 (20150) divided by FVC (20151)	272338	NA	NA
UKBB	Fibroblastic_Disorders	Fibroblastic disorders	ICD10: M72	361144	3439	357705
UKBB	GGT	Gamma-glutamyl transferase	30730	345062	NA	NA
UKBB	Glaucoma_Combined	Glaucoma (Phecode + Self-reported)	Combination of Phecode (365) and self-reported eye problems/disorders (6148)	354399	7143	347256
UKBB	Glucose	Glucose	30740	316666	NA	NA
UKBB	Guilty_Feelings	Guilty feelings	2030	351860	100115	251745
UKBB	Hb	Hemoglobin	30020	351327	NA	NA
UKBB	HbA1c	Hemoglobin A1c	30750	345271	NA	NA
UKBB	HDLC	High density lipoprotein cholesterol	30760	316875	NA	NA
UKBB	Height	Adult height	50	360415	NA	NA
UKBB	Ht	Hematocrit	30030	351328	NA	NA
UKBB	Hypothyroidism	Hypothyroidism	Phecode 244	358851	12916	345935
UKBB	IBD	Inflammatory bowel disease	Phecode 555	300205	3975	296230
UKBB	IGF1	Insulin-like growth factor 1	30770	343465	NA	NA
UKBB	Inguinal_Hernia	Inguinal hernia	Phecode Phecode 550.1	333807	14021	319786
UKBB	Insomnia	Insomnia	1200	360740	NA	NA
UKBB	Irritability	Irritability	1940	345185	96846	248339
UKBB	LDLC	Low density lipoprotein cholesterol	30780	344613	NA	NA
UKBB	LipoA	Lipoprotein A	30790	275456	NA	NA
UKBB	Loneliness	Loneliness	2020	355535	63497	292038
UKBB	LOY	Loss of Y	PAR-LOY (see Thompson et al. bioRxiv, 2019)	205011	41791	163220
UKBB	Lym	Lymphocyte count	30120	350726	NA	NA
UKBB	MAP	Mean arterial pressure	(SBP [4080] + 2 * DBP [4079]) / 3	360863	NA	NA
UKBB	MCH	Mean corpuscular hemoglobin	30050	351324	NA	NA
UKBB	MCHC	Mean corpuscular hemoglobin concentration	30060	351321	NA	NA
UKBB	MCP	Multi-site chronic pain	Number of body regions with pain during last 3 months (see Johnston et al. PLoS Genetics, 2019)	361187	NA	NA
UKBB	MCV	Mean corpuscular volume	30040	351327	NA	NA
UKBB	Migraine_Self	Migraine (Self-reported)	1265	361144	11380	349764
UKBB	Miserableness	Miserableness	1930	355132	151732	203400
UKBB	Mono	Monocyte count	30130	350726	NA	NA
UKBB	Mood_Swings	Mood swings	1920	352557	158960	193597
UKBB	Morning_Person	Morning person	1180	360203	NA	NA
UKBB	Nervous_Feelings	Nervous feelings	1970	351779	83110	268669
UKBB	Neuroticism	Neuroticism	20127	293006	NA	NA
UKBB	Neutro	Neutrophil count	30140	350726	NA	NA
UKBB	Plt	Platelet count	30080	351327	NA	NA
UKBB	PP	Pluse pressure	SBP (4080) - DBP (4079)	360863	NA	NA
UKBB	PrC	Prostate cancer	Phecode 185	349994	7316	342678
UKBB	RBC	Red blood cell count	30010	351328	NA	NA
UKBB	Risk_Taking	Risk taking	2040	348501	90489	258012
UKBB	SBP	Systolic blood pressure	4080	360863	NA	NA
UKBB	Sensitivity	Sensitivity	1950	350774	194729	156045
UKBB	SHBG	Sex hormone binding globulin	30830	313997	NA	NA
UKBB	Smoking_CPD	Smoking (cigarettes per day)	Combination of current/previous number of cigarettes smoked per day (2887 and 3456)	111293	NA	NA
UKBB	Smoking_Ever_Never	Smoking (ever vs never)	20116	359657	164617	195040
UKBB	Suffer_from_Nerves	Suffer from nerves	2010	348038	73931	274107
UKBB	T2D	Type 2 diabetes	Phecode 250.2	360058	16468	343590
UKBB	T2D_BMI	Type 2 diabetes (adjusted by BMI)	Phecode 250.2 adjusted by BMI (21001)	358897	16468	343590
UKBB	TBil	Total bilirubin	30840	343836	NA	NA
UKBB	TC	Total cholesterol	30690	345235	NA	NA
UKBB	Tense	Tense	1990	350111	60500	289611
UKBB	Testosterone	Testosterone	30850	313505	NA	NA
UKBB	TG	Triglyceride	30870	344952	NA	NA
UKBB	TP	Total protein	30860	316664	NA	NA
UKBB	UA	Uric acid	30880	344801	NA	NA
UKBB	Urea	Urea	30670	345014	NA	NA
UKBB	VitD	Vitamin D	30890	330456	NA	NA
UKBB	WBC	White blood cell count	30000	351324	NA	NA
UKBB	WHRadjBMI	Waist-to-hip ratio (adjusted by BMI)	Waist-to-hip ratio (Waist [48] / Hip [49]) adjusted by BMI (21001)	360505	NA	NA
UKBB	Worrier	Worrier	1980	351785	199435	152350
UKBB	Worry_Too_Long	Worry too long after embarrassment	2000	346479	165287	181192
