f_sample_id	f_gse_id	f_genome	f_geo_id	f_label	f_pmid	f_species	f_tissue_type	f_sequencing_type	f_health_type	f_health_type_description	f_description	f_source	f_source_url	f_counts_layer	f_sample_exist	f_cell_count	f_cell_type_count	f_index	f_sample_name
sample_id_11	GSE149683	hg19	GSM4508934	GSE149683_Kidney	33184180	Human	Kidney	sci-ATAC-seq3	Normal	Kidney (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Kidney	counts	0	58117	8	10	Kidney_Fetal period
sample_id_12	GSE149683	hg19	GSM4508935	GSE149683_Liver	33184180	Human	Liver	sci-ATAC-seq3	Normal	Liver (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Liver	counts	0	99834	8	11	Liver_Fetal period
sample_id_13	GSE149683	hg19	GSM4508936	GSE149683_Lung	33184180	Human	Lung	sci-ATAC-seq3	Normal	Lung (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Lung	counts	0	52932	9	12	Lung_Fetal period
sample_id_14	GSE149683	hg19	GSM4508937	GSE149683_Muscle	33184180	Human	Muscle	sci-ATAC-seq3	Normal	Muscle (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Muscle	counts	0	22254	8	13	Muscle_Fetal period
sample_id_15	GSE149683	hg19	GSM4508938	GSE149683_Pancreas	33184180	Human	Pancreatic	sci-ATAC-seq3	Normal	Pancreas (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Pancreas	counts	0	2725	7	14	Pancreas_Fetal period
sample_id_16	GSE149683	hg19	GSM4508939	GSE149683_Placenta	33184180	Human	Placenta	sci-ATAC-seq3	Normal	Placenta (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Placenta	counts	0	33006	12	15	Placenta_Fetal period
sample_id_17	GSE149683	hg19	GSM4508941	GSE149683_Stomach	33184180	Human	Stomach	sci-ATAC-seq3	Normal	Stomach (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Stomach	counts	0	2621	7	16	Stomach_Fetal period
sample_id_18	GSE149683	hg19	GSM4508942	GSE149683_Thymus	33184180	Human	Thymus	sci-ATAC-seq3	Normal	Thymus (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Thymus	counts	0	17551	4	17	Thymus_Fetal period
sample_id_19	GSE166547	hg38	GSM5075549,GSM5075552	GSE166547	35013217	Human	Kidney	scATAC-seq	Disease	Kidney paracancerous tissue	We applied scATAC-seq to construct a cell type-specific epigenetic landscape of kidney at single-cell resolution.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE166547	data	0	8356	11	18	Kidney paracancerous tissue
sample_id_20	GSE174367	hg38	GSM5292857,GSM5292858,GSM5292859,GSM5292860,GSM5292861,GSM5292862,GSM5292863,GSM5292864,GSM5292865,GSM5292866,GSM5292867,GSM5292868,GSM5292869,GSM5292870,GSM5292871,GSM5292872,GSM5292873,GSM5292874,GSM5292875,GSM5292876	GSE174367_scATAC_Ref	34239132	Human	Brain	snATAC-seq	Disease	Alzheimer's Disease (AD), Frontal Cortex	The gene-regulatory landscape of the brain is highly dynamic in health and disease, coordinating a menagerie of biological processes across¬ distinct cell-types. Here, we present a multi-omic single-nucleus study of 191,890 nuclei in late-stage Alzheimer's Disease (AD), accessible through our intuitive web portal, profiling chromatin accessibility and gene expression in the same biological samples and uncovering vast cellular heterogeneity. We identified cell-type specific, disease-associated candidate cis-regulatory elements and their candidate target genes, including an oligodendrocyte-associated regulatory module containing links to APOE and CLU. We describe cis-regulatory relationships in specific cell-types at AD risk loci defined by genome wide association studies (GWAS), demonstrating the utility of this multi-omic single-nucleus approach. Trajectory analysis of glial populations identified disease-relevant transcription factors, like SREBF1 and their regulatory targets. Further, we introduce scWGCNA, a co-expression network analysis strategy robust to the sparsity of single-cell data, to perform a systems-level meta-analysis of AD transcriptomics.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE174367	data	0	7079	7	19	Alzheimer's Disease (AD), Frontal Cortex_brain_1
sample_id_21	GSE181062	hg38	GSM5483850,GSM5483807,GSM5483841,GSM5483836,GSM5483831,GSM5483826,GSM5483821,GSM5483814	GSE181062	35668194	Human	PBMC	scATAC-seq	Disease	Early Stage ccRCC (clear cell renal cell carcinoma)	A complete chart of the chromatin regulatory elements of immune cells in patients with cancer and their dynamic behavior is necessary to understand the developmental fates and to guide therapeutic strategies. Here, we map, at the single-cell level, the chromatin landscape of immune cells from blood, normal adjacent kidney, and malignant tissue from patients with early-stage clear cell renal cell carcinoma (ccRCC). Specifically in T cells, we catalogue the various cell states dictated by tissue- and developmental stage-specific chromatin accessibility patterns and we infer key chromatin regulators of these states. In the CD8+ T cells progression to dysfunction, we observe an extensive rewiring of the regulatory networks. Unexpectedly, we find that among the transcription factors that orchestrate the path to dysfunction, NFkB, a transcription factor with an established prosurvival role during TCR-mediated activation, is associated with a proapoptotic program in late stages of dysfunction in ccRCC infiltrating CD8+ T cells. Importantly, the epigenomic profiling can stratify RCC patients based on a NFkB-driven proapoptotic signature which was also validated at the gene expression and protein level. Our study provides a rich resource for understanding the functional states and regulatory dynamics of immune cells in RCC.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE181062	data	0	18123	12	20	Early Stage ccRCC_PBMC
sample_id_22	GSE195460	hg38	-	GSE195460_Control_1	36068241	Human	Kidney	snATAC-seq	Normal	Control (Diabetic kidney disease)	Purpose: Single cell sequencing has advanced our understanding of kidney biology. The goals of this study are to compare single nucleus RNA (snRNA-seq) and single nucleus assay for transposase accessible chromatin sequencing (snATAC-seq) from healthy control donors and donors with type 2 diabetic kidney disease to identify altered signaling pathways and chromatin accessibility patterns observed in diabetic kidney disease.Methods: Nuclear dissociation of human kidney cortex samples was performed on samples obtained from patients undergoing tumor nephrectromy or deceased organ donors. snRNA-seq and snATAC-seq libraries were prepared using 10X Genomics kits according to manufacturers instructions. For this study, two healthy control libraries from one donor were prepared with the following chemistries (1 - single cell 3-prime v3, 1 - single cell ATAC v1) and nine DKD libraries from seven donors were prepared with the following chemistries (2 - single cell 5-prime v2 paired-end, 7 - single cell ATAC v1).Raw data for three healthy control and three DKD snRNA-seq libraries sequenced with single nucleus 5-prime R2 only can be found in GSE13188213. Raw data for two healthy control snRNA-seq sequenced with single nucleus 5-prime paired-end and five snATAC-seq single nucleus ATAC v1 libraries can be found in GSE151302. snRNA-seq and snATAC-seq libraries from these earlier studies were recounted with cellranger (v4.0) or cellranger-atac (v2.0) to provide consistency across processed data files.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE195460_Control_1	data	0	5196	19	21	Control (Diabetic kidney disease)_1
sample_id_23	GSE195460	hg38	-	GSE195460_Control_3	36068241	Human	Kidney	snATAC-seq	Normal	Control (Diabetic kidney disease)	Purpose: Single cell sequencing has advanced our understanding of kidney biology. The goals of this study are to compare single nucleus RNA (snRNA-seq) and single nucleus assay for transposase accessible chromatin sequencing (snATAC-seq) from healthy control donors and donors with type 2 diabetic kidney disease to identify altered signaling pathways and chromatin accessibility patterns observed in diabetic kidney disease.Methods: Nuclear dissociation of human kidney cortex samples was performed on samples obtained from patients undergoing tumor nephrectromy or deceased organ donors. snRNA-seq and snATAC-seq libraries were prepared using 10X Genomics kits according to manufacturers instructions. For this study, two healthy control libraries from one donor were prepared with the following chemistries (1 - single cell 3-prime v3, 1 - single cell ATAC v1) and nine DKD libraries from seven donors were prepared with the following chemistries (2 - single cell 5-prime v2 paired-end, 7 - single cell ATAC v1).Raw data for three healthy control and three DKD snRNA-seq libraries sequenced with single nucleus 5-prime R2 only can be found in GSE13188213. Raw data for two healthy control snRNA-seq sequenced with single nucleus 5-prime paired-end and five snATAC-seq single nucleus ATAC v1 libraries can be found in GSE151302. snRNA-seq and snATAC-seq libraries from these earlier studies were recounted with cellranger (v4.0) or cellranger-atac (v2.0) to provide consistency across processed data files.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE195460_Control_3	data	0	7546	17	22	Control (Diabetic kidney disease)_2
sample_id_24	GSE195460	hg38	-	GSE195460_Control_4	36068241	Human	Kidney	snATAC-seq	Normal	Control (Diabetic kidney disease)	Purpose: Single cell sequencing has advanced our understanding of kidney biology. The goals of this study are to compare single nucleus RNA (snRNA-seq) and single nucleus assay for transposase accessible chromatin sequencing (snATAC-seq) from healthy control donors and donors with type 2 diabetic kidney disease to identify altered signaling pathways and chromatin accessibility patterns observed in diabetic kidney disease.Methods: Nuclear dissociation of human kidney cortex samples was performed on samples obtained from patients undergoing tumor nephrectromy or deceased organ donors. snRNA-seq and snATAC-seq libraries were prepared using 10X Genomics kits according to manufacturers instructions. For this study, two healthy control libraries from one donor were prepared with the following chemistries (1 - single cell 3-prime v3, 1 - single cell ATAC v1) and nine DKD libraries from seven donors were prepared with the following chemistries (2 - single cell 5-prime v2 paired-end, 7 - single cell ATAC v1).Raw data for three healthy control and three DKD snRNA-seq libraries sequenced with single nucleus 5-prime R2 only can be found in GSE13188213. Raw data for two healthy control snRNA-seq sequenced with single nucleus 5-prime paired-end and five snATAC-seq single nucleus ATAC v1 libraries can be found in GSE151302. snRNA-seq and snATAC-seq libraries from these earlier studies were recounted with cellranger (v4.0) or cellranger-atac (v2.0) to provide consistency across processed data files.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE195460_Control_4	data	0	5894	19	23	Control (Diabetic kidney disease)_3
sample_id_25	GSE195460	hg38	GSM5837795	GSE195460_DN_2	36068241	Human	Kidney	snATAC-seq	Disease	Diabetic kidney disease	Purpose: Single cell sequencing has advanced our understanding of kidney biology. The goals of this study are to compare single nucleus RNA (snRNA-seq) and single nucleus assay for transposase accessible chromatin sequencing (snATAC-seq) from healthy control donors and donors with type 2 diabetic kidney disease to identify altered signaling pathways and chromatin accessibility patterns observed in diabetic kidney disease.Methods: Nuclear dissociation of human kidney cortex samples was performed on samples obtained from patients undergoing tumor nephrectromy or deceased organ donors. snRNA-seq and snATAC-seq libraries were prepared using 10X Genomics kits according to manufacturers instructions. For this study, two healthy control libraries from one donor were prepared with the following chemistries (1 - single cell 3-prime v3, 1 - single cell ATAC v1) and nine DKD libraries from seven donors were prepared with the following chemistries (2 - single cell 5-prime v2 paired-end, 7 - single cell ATAC v1).Raw data for three healthy control and three DKD snRNA-seq libraries sequenced with single nucleus 5-prime R2 only can be found in GSE13188213. Raw data for two healthy control snRNA-seq sequenced with single nucleus 5-prime paired-end and five snATAC-seq single nucleus ATAC v1 libraries can be found in GSE151302. snRNA-seq and snATAC-seq libraries from these earlier studies were recounted with cellranger (v4.0) or cellranger-atac (v2.0) to provide consistency across processed data files.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE195460_DN_2	data	0	4067	19	24	Diabetic kidney disease_1
sample_id_26	GSE195460	hg38	GSM5837798	GSE195460_DN_4	36068241	Human	Kidney	snATAC-seq	Disease	Diabetic kidney disease	Purpose: Single cell sequencing has advanced our understanding of kidney biology. The goals of this study are to compare single nucleus RNA (snRNA-seq) and single nucleus assay for transposase accessible chromatin sequencing (snATAC-seq) from healthy control donors and donors with type 2 diabetic kidney disease to identify altered signaling pathways and chromatin accessibility patterns observed in diabetic kidney disease.Methods: Nuclear dissociation of human kidney cortex samples was performed on samples obtained from patients undergoing tumor nephrectromy or deceased organ donors. snRNA-seq and snATAC-seq libraries were prepared using 10X Genomics kits according to manufacturers instructions. For this study, two healthy control libraries from one donor were prepared with the following chemistries (1 - single cell 3-prime v3, 1 - single cell ATAC v1) and nine DKD libraries from seven donors were prepared with the following chemistries (2 - single cell 5-prime v2 paired-end, 7 - single cell ATAC v1).Raw data for three healthy control and three DKD snRNA-seq libraries sequenced with single nucleus 5-prime R2 only can be found in GSE13188213. Raw data for two healthy control snRNA-seq sequenced with single nucleus 5-prime paired-end and five snATAC-seq single nucleus ATAC v1 libraries can be found in GSE151302. snRNA-seq and snATAC-seq libraries from these earlier studies were recounted with cellranger (v4.0) or cellranger-atac (v2.0) to provide consistency across processed data files.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE195460_DN_4	data	0	5851	19	25	Diabetic kidney disease_2
sample_id_27	GSE195460	hg38	GSM5837800	GSE195460_DN_5	36068241	Human	Kidney	snATAC-seq	Disease	Diabetic kidney disease	Purpose: Single cell sequencing has advanced our understanding of kidney biology. The goals of this study are to compare single nucleus RNA (snRNA-seq) and single nucleus assay for transposase accessible chromatin sequencing (snATAC-seq) from healthy control donors and donors with type 2 diabetic kidney disease to identify altered signaling pathways and chromatin accessibility patterns observed in diabetic kidney disease.Methods: Nuclear dissociation of human kidney cortex samples was performed on samples obtained from patients undergoing tumor nephrectromy or deceased organ donors. snRNA-seq and snATAC-seq libraries were prepared using 10X Genomics kits according to manufacturers instructions. For this study, two healthy control libraries from one donor were prepared with the following chemistries (1 - single cell 3-prime v3, 1 - single cell ATAC v1) and nine DKD libraries from seven donors were prepared with the following chemistries (2 - single cell 5-prime v2 paired-end, 7 - single cell ATAC v1).Raw data for three healthy control and three DKD snRNA-seq libraries sequenced with single nucleus 5-prime R2 only can be found in GSE13188213. Raw data for two healthy control snRNA-seq sequenced with single nucleus 5-prime paired-end and five snATAC-seq single nucleus ATAC v1 libraries can be found in GSE151302. snRNA-seq and snATAC-seq libraries from these earlier studies were recounted with cellranger (v4.0) or cellranger-atac (v2.0) to provide consistency across processed data files.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE195460_DN_5	data	0	5293	19	26	Diabetic kidney disease_3
