motif_name	tf
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	COUPTF2
CRE(bZIP)/Promoter/Homer	CRE
CREB5(bZIP)/LNCaP-CREB5.V5-ChIP-Seq(GSE137775)/Homer	CREB5
CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)/Homer	CRX
CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF-MYS
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF
CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)/Homer	CUX1
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer	CUX2
DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)/Homer	DLX1
DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)/Homer	DLX2
Dlx3(Homeobox)/Kerainocytes-Dlx3-ChIP-Seq(GSE89884)/Homer	DLX3
DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)/Homer	DLX5
Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)/Homer	DMC1
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)/Homer	DMRT1
DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)/Homer	DMRT6
RAR:RXR(NR),DR0/ES-RAR-ChIP-Seq(GSE56893)/Homer	DR0
RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)/Homer	DR5
DUX(Homeobox)/C2C12-Dux-ChIP-Seq(GSE87279)/Homer	DUX
DUX4(Homeobox)/Myoblasts-DUX4.V5-ChIP-Seq(GSE75791)/Homer	DUX4
Duxbl(Homeobox)/NIH3T3-Duxbl.HA-ChIP-Seq(GSE119782)/Homer	DUXBL
E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer	E2A
E2F(E2F)/Hela-CellCycle-Expression/Homer	E2F
E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer	E2F1
E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)/Homer	E2F3
E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)/Homer	E2F4
E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)/Homer	E2F6
E2F7(E2F)/Hela-E2F7-ChIP-Seq(GSE32673)/Homer	E2F7
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	E47
EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)/Homer	EBF-OLD
EBF(EBF)/proBcell-EBF-ChIP-Seq(GSE21978)/Homer	EBF
EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)/Homer	EBF2
EBNA1(EBV-virus)/Raji-EBNA1-ChIP-Seq(GSE30709)/Homer	EBNA1
E-box(bHLH)/Promoter/Homer	EBOX
E-box/Drosophila-Promoters/Homer	EBOX
E-box/Arabidopsis-Promoters/Homer	EBOX
Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)/Homer	EGR1
Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	EGR2
EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)/Homer	EHF
EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	EKLF
ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)/Homer	ELF1
ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)/Homer	ELF3
Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)/Homer	ELF4
ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)/Homer	ELF5
Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer	ELK1
Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)/Homer	ELK4
Emx2(Homeobox)/Cortex-Emx2-ChIP-Seq(GSE183130)/Homer	EMX2
En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	EN1
Eomes(T-box)/H9-Eomes-ChIP-Seq(GSE26097)/Homer	EOMES
ERb(NR),IR3/Ovary-ERb-ChIP-Seq(GSE203391)/Homer	ERB
ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)/Homer	ERE
ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	ERG
Erra(NR)/HepG2-Erra-ChIP-Seq(GSE31477)/Homer	ERRA
ERRg(NR)/Kidney-ESRRG-ChIP-Seq(GSE104905)/Homer	ERRG
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)/Homer	ESRRB
Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	ETS-DISTAL
ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)/Homer	ETS-EBOX
ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer	ETS-RUNX
ETS(ETS)/Promoter/Homer	ETS
ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	ETS1
ETV1(ETS)/GIST48-ETV1-ChIP-Seq(GSE22441)/Homer	ETV1
Etv2(ETS)/ES-ER71-ChIP-Seq(GSE59402)/Homer	ETV2
ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE)/Homer	ETV4
EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer	EWS-ERG
EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)/Homer	EWS-FLI1
Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)/Homer	FLI
Fos(bZIP)/TSC-Fos-ChIP-Seq(GSE110950)/Homer	FOS
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer	FOSL2
Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer	FOX-EBOX
FOXA1(Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	FOXA1-LNCAP
FOXA1(Forkhead)/MCF7-FOXA1-ChIP-Seq(GSE26831)/Homer	FOXA1-MCF7
Foxa2(Forkhead)/Liver-Foxa2-ChIP-Seq(GSE25694)/Homer	FOXA2
Foxa3(Forkhead)/Liver-Foxa3-ChIP-Seq(GSE77670)/Homer	FOXA3
FoxD3(forkhead)/ZebrafishEmbryo-Foxd3.biotin-ChIP-seq(GSE106676)/Homer	FOXD3
Foxf1(Forkhead)/Lung-Foxf1-ChIP-Seq(GSE77951)/Homer	FOXF1
Foxh1(Forkhead)/hESC-FOXH1-ChIP-Seq(GSE29422)/Homer	FOXH1
FOXK1(Forkhead)/HEK293-FOXK1-ChIP-Seq(GSE51673)/Homer	FOXK1
FOXK2(Forkhead)/U2OS-FOXK2-ChIP-Seq(E-MTAB-2204)/Homer	FOXK2
FoxL2(Forkhead)/Ovary-FoxL2-ChIP-Seq(GSE60858)/Homer	FOXL2
FOXM1(Forkhead)/MCF7-FOXM1-ChIP-Seq(GSE72977)/Homer	FOXM1
Foxo1(Forkhead)/RAW-Foxo1-ChIP-Seq(Fan_et_al.)/Homer	FOXO1
Foxo3(Forkhead)/U2OS-Foxo3-ChIP-Seq(E-MTAB-2701)/Homer	FOXO3
FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)/Homer	FOXP1
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)/Homer	FRA1
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer	FRA2
FXR(NR),ER2/Liver-FXR-ChIP-Seq(GSE133700)/Homer	FXR-ER2
FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)/Homer	FXR
GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954)/Homer	GABP
GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)/Homer	GATA-SCL
Gata1(Zf)/K562-GATA1-ChIP-Seq(GSE18829)/Homer	GATA
Gata2(Zf)/K562-GATA2-ChIP-Seq(GSE18829)/Homer	GATA2
GATA3(Zf),DR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3-DR4
GATA3(Zf),DR8/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3-DR8
GATA(Zf),IR3/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3-IR3
GATA(Zf),IR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3-IR4
GATA3(Zf)/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3
Gata4(Zf)/Heart-Gata4-ChIP-Seq(GSE35151)/Homer	GATA4
Gata6(Zf)/HUG1N-GATA6-ChIP-Seq(GSE51936)/Homer	GATA6
Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)/Homer	GFI1B
GFX(?)/Promoter/Homer	GFX
GFY-Staf(?,Zf)/Promoter/Homer	GFY-STAF
GFY(?)/Promoter/Homer	GFY
GLI3(Zf)/Limb-GLI3-ChIP-Chip(GSE11077)/Homer	GLI1
Gli2(Zf)/GM2-Gli2-ChIP-Chip(GSE112702)/Homer	GLI2
Gli3(Zf)/E11.5-Gli3-ChIP-Chip(GSE151646)/Homer	GLI3
GLIS3(Zf)/Thyroid-Glis3.GFP-ChIP-Seq(GSE103297)/Homer	GLIS3
GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)/Homer	GRE-RAW
GRE(NR),IR3/A549-GR-ChIP-Seq(GSE32465)/Homer	GRE
GRHL2(CP2)/HBE-GRHL2-ChIP-Seq(GSE46194)/Homer	GRHL2
GSC(Homeobox)/FrogEmbryos-GSC-ChIP-Seq(DRA000576)/Homer	GSC
Gsx2(Homeobox)/LGE-Gsx2.Flag-ChIP-Seq(GSE162589)/Homer	GSX2
Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475)/Homer	HAND2
HEB(bHLH)/mES-Heb-ChIP-Seq(GSE53233)/Homer	HEB
HIC1(Zf)/Treg-ZBTB29-ChIP-Seq(GSE99889)/Homer	HIC1
HIF-1a(bHLH)/MCF7-HIF1a-ChIP-Seq(GSE28352)/Homer	HIF1A
HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)/Homer	HIF1B
HIF2a(bHLH)/785_O-HIF2a-ChIP-Seq(GSE34871)/Homer	HIF2A
HINFP(Zf)/K562-HINFP.eGFP-ChIP-Seq(Encode)/Homer	HINFP
HLF(bZIP)/HSC-HLF.Flag-ChIP-Seq(GSE69817)/Homer	HLF
Hnf1(Homeobox)/Liver-Foxa2-Chip-Seq(GSE25694)/Homer	HNF1
HNF1b(Homeobox)/PDAC-HNF1B-ChIP-Seq(GSE64557)/Homer	HNF1B
HNF4a(NR),DR1/HepG2-HNF4a-ChIP-Seq(GSE25021)/Homer	HNF4
HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)/Homer	HNF6
Hnf6b(Homeobox)/LNCaP-Hnf6b-ChIP-Seq(GSE106305)/Homer	HNF6B
HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer	HOXA1
Hoxa10(Homeobox)/ChickenMSG-Hoxa10.Flag-ChIP-Seq(GSE86088)/Homer	HOXA10
Hoxa11(Homeobox)/ChickenMSG-Hoxa11.Flag-ChIP-Seq(GSE86088)/Homer	HOXA11
Hoxa13(Homeobox)/ChickenMSG-Hoxa13.Flag-ChIP-Seq(GSE86088)/Homer	HOXA13
HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson_et_al.)/Homer	HOXA2
HOXA3(Homeobox)/mEmbryo-Hoxa3-ChIP-Seq(E-MTAB-8607)/Homer	HOXA3
Hoxa9(Homeobox)/ChickenMSG-Hoxa9.Flag-ChIP-Seq(GSE86088)/Homer	HOXA9
HOXA9(Homeobox)/HSC-Hoxa9-ChIP-Seq(GSE33509)/Homer	HOXA9
HOXB13(Homeobox)/ProstateTumor-HOXB13-ChIP-Seq(GSE56288)/Homer	HOXB13
Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer	HOXB4
Hoxc10(Homeobox)/EB-Hoxc10.iFlag-ChIP-Seq(GSE142377)/Homer	HOXC10
Hoxc13(Homeobox)/EB-Hoxc13.HA-ChIP-Seq(GSE142377)/Homer	HOXC13
Hoxc6(Homeobox)/EB-Hoxc6.iFlag-ChIP-Seq(GSE142377)/Homer	HOXC6
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)/Homer	HOXC9
Hoxd10(Homeobox)/ChickenMSG-Hoxd10.Flag-ChIP-Seq(GSE86088)/Homer	HOXD10
Hoxd11(Homeobox)/ChickenMSG-Hoxd11.Flag-ChIP-Seq(GSE86088)/Homer	HOXD11
Hoxd12(Homeobox)/ChickenMSG-Hoxd12.Flag-ChIP-Seq(GSE86088)/Homer	HOXD12
Hoxd13(Homeobox)/ChickenMSG-Hoxd13.Flag-ChIP-Seq(GSE86088)/Homer	HOXD13
HOXD13(Homeobox)/Chicken-Hoxd13-ChIP-Seq(GSE38910)/Homer	HOXD13
Hoxd9(Homeobox)/EB-Hoxd9.HA-ChIP-Seq(GSE142377)/Homer	HOXD9
HRE(HSF)/Striatum-HSF1-ChIP-Seq(GSE38000)/Homer	HSF
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477)/Homer	HSF1
IRF1(IRF)/PBMC-IRF1-ChIP-Seq(GSE43036)/Homer	IRF1
IRF2(IRF)/Erythroblas-IRF2-ChIP-Seq(GSE36985)/Homer	IRF2
IRF3(IRF)/BMDM-Irf3-ChIP-Seq(GSE67343)/Homer	IRF3
IRF4(IRF)/GM12878-IRF4-ChIP-Seq(GSE32465)/Homer	IRF4
IRF8(IRF)/BMDM-IRF8-ChIP-Seq(GSE77884)/Homer	IRF8
Isl1(Homeobox)/Neuron-Isl1-ChIP-Seq(GSE31456)/Homer	ISL1
ISRE(IRF)/ThioMac-LPS-Expression(GSE23622)/Homer	ISRE
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	JUN-AP1
c-Jun-CRE(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	JUN-CRE
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099)/Homer	JUNB
JunD(bZIP)/K562-JunD-ChIP-Seq/Homer	JUND
KLF1(Zf)/HUDEP2-KLF1-CutnRun(GSE136251)/Homer	KLF1
KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer	KLF10
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer	KLF14
Klf15(Zf)/Liver-Klf15-ChIP-Seq(GSE166083)/Homer	KLF15
KLF17(Zf)/2cell-Klf17-CutnTag(GSE211845)/Homer	KLF17
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	KLF3
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer	KLF4
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	KLF5
KLF6(Zf)/PDAC-KLF6-ChIP-Seq(GSE64557)/Homer	KLF6
Klf9(Zf)/GBM-Klf9-ChIP-Seq(GSE62211)/Homer	KLF9
LEF1(HMG)/H1-LEF1-ChIP-Seq(GSE64758)/Homer	LEF1
Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer	LHX1
Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)/Homer	LHX2
Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)/Homer	LHX3
Lhx6/Neurons-Lhx6-ChIP-seq(GSE85704)/Homer	LHX6
LHX9(Homeobox)/Hct116-LHX9.V5-ChIP-Seq(GSE116822)/Homer	LHX9
Unknown(Homeobox)/Limb-p300-ChIP-Seq/Homer	LIMB
LRF(Zf)/Erythroblasts-ZBTB7A-ChIP-Seq(GSE74977)/Homer	LRF
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295)/Homer	LRH1
LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)/Homer	LXRE
MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)/Homer	MAFA
MafB(bZIP)/BMM-Mafb-ChIP-Seq(GSE75722)/Homer	MAFB
MafF(bZIP)/HepG2-MafF-ChIP-Seq(GSE31477)/Homer	MAFF
MafK(bZIP)/C2C12-MafK-ChIP-Seq(GSE36030)/Homer	MAFK
Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)/Homer	MAX
Maz(Zf)/HepG2-Maz-ChIP-Seq(GSE31477)/Homer	MAZ
Mef2a(MADS)/HL1-Mef2a.biotin-ChIP-Seq(GSE21529)/Homer	MEF2A
Mef2b(MADS)/HEK293-Mef2b.V5-ChIP-Seq(GSE67450)/Homer	MEF2B
Mef2c(MADS)/GM12878-Mef2c-ChIP-Seq(GSE32465)/Homer	MEF2C
Mef2d(MADS)/Retina-Mef2d-ChIP-Seq(GSE61391)/Homer	MEF2D
Meis1(Homeobox)/MastCells-Meis1-ChIP-Seq(GSE48085)/Homer	MEIS1
Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer	MESP1
MITF(bHLH)/MastCells-MITF-ChIP-Seq(GSE48085)/Homer	MITF
Mixl1(Homeobox)/EpiBlast-Mixl1-ChIP-seq(GSE161164)/Homer	MIXL1
MNT(bHLH)/HepG2-MNT-ChIP-Seq(Encode)/Homer	MNT
MRE(NR)/Neuro2A-NR3C2-ChIPnexus(GSE115417)/Homer	MRE
MYB(HTH)/ERMYB-Myb-ChIPSeq(GSE22095)/Homer	MYB
AMYB(HTH)/Testes-AMYB-ChIP-Seq(GSE44588)/Homer	MYBA
Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)/Homer	MYF5
MYNN(Zf)/HEK293-MYNN.eGFP-ChIP-Seq(Encode)/Homer	MYNN
MyoD(bHLH)/Myotube-MyoD-ChIP-Seq(GSE21614)/Homer	MYOD
MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer	MYOG
MYRF(MYRF)/CFPAC1-MYRF-ChIP-Seq(GSE145627)/Homer	MYRF
Nanog(Homeobox)/mES-Nanog-ChIP-Seq(GSE11724)/Homer	NANOG
NeuroD1(bHLH)/Islet-NeuroD1-ChIP-Seq(GSE30298)/Homer	NEUROD1
NeuroG2(bHLH)/Fibroblast-NeuroG2-ChIP-Seq(GSE75910)/Homer	NEUROG2
NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	NF1-FOX
NF1-halfsite(CTF)/LNCaP-NF1-ChIP-Seq(Unpublished)/Homer	NF1-HALF
NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer	NF1
NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	NFAT-AP1
NFAT(RHD)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer	NFATC1
NFATC2(RHD)/Islets-NFATC2-ChIP-Seq(GSE158496)/Homer	NFATC2
NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)/Homer	NFE2
NFE2L2(bZIP)/HepG2-NFE2L2-ChIP-Seq(Encode)/Homer	NFE2L2
NFIL3(bZIP)/HepG2-NFIL3-ChIP-Seq(Encode)/Homer	NFIL3
NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)/Homer	NFKB
NFY(CCAAT)/Promoter/Homer	NFY
Nkx2.1(Homeobox)/LungAC-Nkx2.1-ChIP-Seq(GSE43252)/Homer	NKX2-1
Nkx2.2(Homeobox)/NPC-Nkx2.2-ChIP-Seq(GSE61673)/Homer	NKX2-2
Nkx2.5(Homeobox)/HL1-Nkx2.5.biotin-ChIP-Seq(GSE21529)/Homer	NKX2-5
Nkx3.1(Homeobox)/LNCaP-Nkx3.1-ChIP-Seq(GSE28264)/Homer	NKX3-1
Nkx6.1(Homeobox)/Islet-Nkx6.1-ChIP-Seq(GSE40975)/Homer	NKX6-1
n-Myc(bHLH)/mES-nMyc-ChIP-Seq(GSE11431)/Homer	NMYC
NPAS(bHLH)/Liver-NPAS-ChIP-Seq(GSE39860)/Homer	NPAS
NPAS2(bHLH)/Liver-NPAS2-ChIP-Seq(GSE39860)/Homer	NPAS2
Npas4(bHLH)/Neuron-Npas4-ChIP-Seq(GSE127793)/Homer	NPAS4
EAR2(NR)/K562-NR2F6-ChIP-Seq(Encode)/Homer	NR2F6
Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019)/Homer	NR5A2
NRF(NRF)/Promoter/Homer	NRF
NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	NRF1
Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)/Homer	NRF2
Nur77(NR)/K562-NR4A1-ChIP-Seq(GSE31363)/Homer	NUR77
OCT:OCT(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer	OCT-OCT
OCT:OCT-short(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer	OCT-OCT-SHORT
OCT:OCT(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	OCT-IR
OCT:OCT(POU,Homeobox,IR1)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer	OCT-IR1
Oct11(POU,Homeobox)/NCIH1048-POU2F3-ChIP-seq(GSE115123)/Homer	OCT11
Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	OCT2
Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)/Homer	OCT4-SOX17
OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	OCT4-SOX2
Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	OCT4
Oct6(POU,Homeobox)/NPC-Pou3f1-ChIP-Seq(GSE35496)/Homer	OCT6
Olig2(bHLH)/Neuron-Olig2-ChIP-Seq(GSE30882)/Homer	OLIG2
Otx2(Homeobox)/EpiLC-Otx2-ChIP-Seq(GSE56098)/Homer	OTX2
NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)/Homer	P50
NFkB2-p52(RHD)/U266-NFKB2-ChIP-seq(GSE230466)/Homer	P52
p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	P53-MYC
p53(p53)/Saos-p53-ChIP-Seq(GSE15780)/Homer	P53
p63(p53)/Keratinocyte-p63-ChIP-Seq(GSE17611)/Homer	P63
NFkB-p65(RHD)/GM12787-p65-ChIP-Seq(GSE19485)/Homer	P65
p73(p53)/Trachea-p73-ChIP-Seq(PRJNA310161)/Homer	P73
