meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note
GD00848	COVID-19 (very severe respiratory confirmed vs population) RELEASE 5	COVID-19	D000086382	1388342	5101.0	1383241.0	EUR	COVID-19 Host Genetics Initiative	32404885	2020	10	9704928	654	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST011001-GCST012000/GCST011075	
FG00190	Coffee type: Other type of coffee	Coffee	D003069	357425	6129.0	351296.0	UKB	Longda Jiang	31768069	2019	1	8520538	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/1508_4.v1.1.fastGWA.gz	
PE05657	Pituitary hyperfunction	Adrenocortical Hyperfunction	D000308	416315	438.0	415877.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861532	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-253.1-both_sexes.tsv.bgz	
PE00790	Treatment/medication code: beclometasone	Anti-Asthmatic Agents	D018927	420473	3850.0	416623.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1656	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140909786.tsv.bgz	
AT609	cranial nerve problem/palsy	Cranial Nerve Diseases	D003389	452264	884.0	451380.0	UKB	Roslin Institute	30349118	2018	7	9124370	81	http://geneatlas.roslin.ed.ac.uk/	
PA01083	Hallux valgus (Bunion)	Hallux Valgus	D006215	411183	7656.0	403527.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861503	192	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-735.3-both_sexes.tsv.bgz	
FG04422	Treatment/medication code: gtn - glyceryl trinitrate	Vasodilator Agents	D014665	456276	782.0	455494.0	UKB	Longda Jiang	34737426	2021	2	11842598	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140923670.v1.0.fastGWA.gz	
PH375	Periodontal complex trait 3	Chronic Periodontitis	D055113	975	394.0	581.0	EUR	Offenbacher S	26962152	2016	2	2056431	2	https://www.ebi.ac.uk/gwas/downloads/summary-statistics	no MAF
CA145	Major depressive disorder (probable)	Depressive Disorder, Major	D003865	174519	30603.0	143916.0	UKB	Howard DM	29662059	2018	2	7666890	20	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HowardDM_29662059_GCST005904/UKBiobank_probableMDD_12Jan18.txt	no MAF
FG03618	Eye problems/disorders: Macular degeneration	Macular Degeneration	D008268	147979	3493.0	144486.0	UKB	Longda Jiang	34737426	2021	2	11841861	213	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/6148_5.v1.0.fastGWA.gz	
F902058	Venous complications and haemorrhoids in the puerperium	Venous Cutdown	D016748	202553	286.0	202267.0	EUR	Kurki MI	36653562	2023	1	20005714	2	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_O15_VENOUS_COMPLIC.gz	
FG03141	Fish consumer	Fishes	D005399	64001	18431.0	45570.0	UKB	Longda Jiang	34737426	2021	1	11841870	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/103140.v1.0.fastGWA.gz	
MR10174	Croissant intake	Energy Intake	D002149	64943			UKB	Ben Elsworth	IEU-UKB	2018	3	8582899	5	https://gwas.mrcieu.ac.uk/files/ukb-b-4007/ukb-b-4007.vcf.gz	
FG01034	Mean MO in inferior cerebellar peduncle on FA skeleton (right)	Cerebral Peduncle	D065850	12101			UKB	Longda Jiang	31768069	2019	1	8492976	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25162.v1.1.fastGWA.gz	
PE00822	Treatment/medication code: losartan	Losartan	D019808	420473	3793.0	416680.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861553	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140916356.tsv.bgz	
FG04370	Type of cancer: ICD10: PHESANT recoding	Neoplasms	D009369	247540	858.0	246682.0	UKB	Longda Jiang	34737426	2021	1	11842708	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/40006_C508.v1.0.fastGWA.gz	
FG01448	Weighted-mean L1 in tract forceps minor	Pyramidal Tracts	D011712	12099			UKB	Longda Jiang	31768069	2019	1	8493131	94	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25580.v1.1.fastGWA.gz	
PE03588	Eye problems/disorders: Macular degeneration	Macular Degeneration	D008268	135363	3224.0	132139.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23852037	424	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-6148-both_sexes-5.tsv.bgz	
PE04969	L30 Other dermatitis	Dermatitis	D003872	420531	2079.0	418452.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	44	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-L30-both_sexes.tsv.bgz	
PE00777	Treatment/medication code: felodipine	Felodipine	D015736	420473	3620.0	416853.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	11	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140888646.tsv.bgz	
FG01086	Mean L1 in cerebral peduncle on FA skeleton (right)	Cerebral Peduncle	D065850	12101			UKB	Longda Jiang	31768069	2019	2	8492985	44	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25214.v1.1.fastGWA.gz	
FG03922	Treatment/medication code: clopidogrel	Clopidogrel	D000077144	456276	2920.0	453356.0	UKB	Longda Jiang	34737426	2021	2	11842544	74	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1141168318.v1.0.fastGWA.gz	
MR29300	Indian snacks intake	Snacks	D062410	64949			UKB	Ben Elsworth	IEU-UKB	2018	4	8582782	5	https://gwas.mrcieu.ac.uk/files/ukb-b-282/ukb-b-282.vcf.gz	
FG01411	Weighted-mean MO in tract acoustic radiation (left)	Acoustic Maculae	D008267	12099			UKB	Longda Jiang	31768069	2019	1	8493112	9	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25542.v1.1.fastGWA.gz	
PH334	Insulin disposition index	Insulin	D007328	5130			EUR	Prokopenko I	24699409	2014	1	2390693	25	http://www.magicinvestigators.org/downloads	no MAF
PE01931	Operative procedures - main OPCS4: B28.2 Partial excision of breast NEC	Surgical Procedures, Operative	D013514	420531	4691.0	415840.0	UKB	Pan-UKB team	Pan-UKB	2022	6	23861554	158	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-B282.tsv.bgz	
FG00411	Number of correct matches in round	Matched-Pair Analysis	D016555	111546			UKB	Longda Jiang	31768069	2019	1	8518818	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/20131.v1.1.fastGWA.gz	
F900917	Other specified and unspecified disorders of lens	Lens Diseases	D007905	313079	215.0	312864.0	EUR	Kurki MI	36653562	2023	1	20012619	82	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H7_DISORDERLENSNAS.gz	
FG02116	Length of working week for main job	Employment	D004651	256010			UKB	Longda Jiang	31768069	2019	1	8524428	18	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/767.v1.1.fastGWA.gz	
FG04493	Treatment/medication code: spiriva 18micrograms inhalation capsule	Bronchodilator Agents	D001993	456276	655.0	455621.0	UKB	Longda Jiang	34737426	2021	2	11842593	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1141182632.v1.0.fastGWA.gz	
FG03693	Job SOC coding: Personnel and industrial relations officers	Job Description	D007587	113841	1817.0	112024.0	UKB	Longda Jiang	34737426	2021	2	11842944	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22617_3562.v1.0.fastGWA.gz	
FG02241	Cellulitis and abscess of leg, except foot	Cellulitis	D002481	456348	4576.0	451772.0	UKB	Longda Jiang	34737426	2021	1	11842531	26	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/681.5_PheCode.v1.0.fastGWA.gz	
GCST90038649	Cataracts	Cataract	D002386	484598	7038.0	477560.0	UKB	Dönertaş HM	33959723	2021	4	9837154	36	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038649	
FG02088	Leisure/social activities: Adult education class	Leisure Activities	D007899	454813	32682.0	422131.0	UKB	Longda Jiang	31768069	2019	1	8527350	420	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/6160_4.v1.1.fastGWA.gz	
GA042	Usual side of head for mobile phone use	Cell Phone Use	D000075782	324835			UKB	CTGLAB	31427789	2019	2	10431140	24	https://atlas.ctglab.nl/	
AT627	M89 Other disorders of bone	Bone Diseases	D001847	452264	1664.0	450600.0	UKB	Roslin Institute	30349118	2018	2	9124361	3	http://geneatlas.roslin.ed.ac.uk/	
GCST90061416	Physical activity (Total log acceleration 2pm-4pm)	Acceleration	D000054	88411			UKB	Qi G	35043453	2022	2	8559808	2	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90061001-GCST90062000/GCST90061416	
GD00943	CXCL5 measurement	Chemokine CXCL5	D054365	982			EUR	Hillary RF	32641083	2020	1	7903071	117	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000461	no MAF
GD01287	Granulocyte Absolute Count	B-Lymphocytes	D001402	3653			EUR	Orrù V	32929287	2020	2	16942720	3	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001651	
MR27535	Types of spread used on bread/crackers: Polyunsaturated margarine on bread/crackers	Bread	D001939	64949	13693.0	51256.0	UKB	Ben Elsworth	IEU-UKB	2018	1	6365913	1	https://gwas.mrcieu.ac.uk/files/ukb-b-319/ukb-b-319.vcf.gz	
FG03109	Ever suffered mental distress preventing usual activities	Stress, Psychological	D013315	145805	48729.0	97076.0	UKB	Longda Jiang	34737426	2021	5	11842058	119	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20500.v1.0.fastGWA.gz	
PE00186	Non-cancer illness code, self-reported: peripheral vascular disease	Peripheral Vascular Diseases	D016491	420473	785.0	419688.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861554	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1067.tsv.bgz	
PE04064	Age when first had unusual or psychotic experience	Affective Disorders, Psychotic	D000341	5312			UKB	Pan-UKB team	Pan-UKB	2022	2	20004879	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20461-both_sexes-irnt.tsv.bgz	
GD01663	SSC-A on HLA DR+ T cell	Chemokines	D018925	3060			EUR	Orrù V	32929287	2020	1	16553090	39	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002083	
PE00388	Non-cancer illness code, self-reported: cystitis	Cystitis	D003556	420473	335.0	420138.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1514.tsv.bgz	
PE04143	Rest days during mixed shift periods	Job Description	D007587	20137			UKB	Pan-UKB team	Pan-UKB	2022	2	22652535	4	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-22645-both_sexes.tsv.bgz	
PE02860	Operative procedures - main OPCS4: W38.3 Revision of total prosthetic replacement of hip joint not using cement	Surgical Procedures, Operative	D013514	420531	221.0	420310.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-W383.tsv.bgz	
OT254	Zinc sulfate turbidity test	Zinc Sulfate	D019287	12303			EAS	Kanai M	29403010	2018	2	4028136	56	http://jenger.riken.jp/en/result	no MAF
FG03000	Optic neuritis/neuropathy	Optic Neuritis	D009902	456348	105.0	456243.0	UKB	Longda Jiang	34737426	2021	1	11842630	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/377.3_PheCode.v1.0.fastGWA.gz	
PE05674	Anorexia	Anorexia	D000855	417818	1126.0	416692.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861547	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-260.6-both_sexes.tsv.bgz	
MR35197	Other savoury snack intake	Energy Intake	D002149	64949			UKB	Ben Elsworth	IEU-UKB	2018	2	8582162	3	https://gwas.mrcieu.ac.uk/files/ukb-b-18718/ukb-b-18718.vcf.gz	
BE009	M17 Gonarthrosis [arthrosis of knee]	Osteoarthritis, Knee	D020370	361194	11497.0	349697.0	UKB	Nealelab	Nealelab	2018	10	10816223	172	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859300	
FG02925	Occlusion of cerebral arteries, with cerebral infarction	Cerebrovascular Disorders	D002561	456348	134.0	456214.0	UKB	Longda Jiang	34737426	2021	1	11842623	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/433.11_PheCode.v1.0.fastGWA.gz	
F901055	Other infective otitis externa	Otitis Externa	D010032	368626	1621.0	367005.0	EUR	Kurki MI	36653562	2023	1	20014126	4	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H8_EXT_INFNAS.gz	
FG02355	Bladder neck obstruction	Urinary Bladder Neck Obstruction	D001748	456348	1621.0	454727.0	UKB	Longda Jiang	34737426	2021	1	11842578	7	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/596.1_PheCode.v1.0.fastGWA.gz	
PE06631	Pathologic fracture of vertebrae	Pathologic Processes	D010335	411453	415.0	411038.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861528	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-743.21-both_sexes.tsv.bgz	
PE01530	Country of Birth (non-UK origin): Malaysia	Malaysia	D008296	11618	200.0	11418.0	UKB	Pan-UKB team	Pan-UKB	2022	2	22399944	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20115-both_sexes-226.tsv.bgz	
MR38586	Fasting blood insulin	Fasting	D005215	51750			EUR	Manning AK	22581228	2012	4	2581172	32	https://gwas.mrcieu.ac.uk/files/ebi-a-GCST005185/ebi-a-GCST005185.vcf.gz	
FG01112	Mean L1 in superior longitudinal fasciculus on FA skeleton (right)	Superior Sagittal Sinus	D054063	12101			UKB	Longda Jiang	31768069	2019	2	8492960	3076	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25240.v1.1.fastGWA.gz	
AT637	type 2 diabetes	Diabetes Mellitus, Type 2	D003924	452264	2889.0	449375.0	UKB	Roslin Institute	30349118	2018	4	9124366	88	http://geneatlas.roslin.ed.ac.uk/	
GD01405	SSC-A on B cell	B-Lymphocytes	D001402	3112			EUR	Orrù V	32929287	2020	1	16569790	1	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002075	
PA00748	Illness, injury, bereavement, stress in last 2 years: Financial difficulties	Financial Stress	D000086522	417785	47588.0	370197.0	UKB	Pan-UKB team	Pan-UKB	2022	5	23861545	19	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-6145-both_sexes-6.tsv.bgz	
FG01483	Weighted-mean L2 in tract posterior thalamic radiation (left)	Posterior Thalamic Nuclei	D020656	12099			UKB	Longda Jiang	31768069	2019	1	8493117	76	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25615.v1.1.fastGWA.gz	
FG03062	Illnesses of mother: PHESANT recoding	Family Health	D005192	419778	173897.0	245881.0	UKB	Longda Jiang	34737426	2021	6	11842382	218	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20110_100.v1.0.fastGWA.gz	
F901193	Occlusion and stenosis of arteries, not leading to stroke	Arterial Occlusive Diseases	D001157	343079	406.0	342673.0	EUR	Kurki MI	36653562	2023	1	20013564	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_I9_STENOSIS.gz	
PE06276	Other chronic nonalcoholic liver disease	Non-alcoholic Fatty Liver Disease	D065626	410831	2429.0	408402.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861512	195	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-571.5-both_sexes.tsv.bgz	
FG01523	Weighted-mean ICVF in tract parahippocampal part of cingulum (left)	Parahippocampal Gyrus	D020534	12098			UKB	Longda Jiang	31768069	2019	3	8493077	208	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25656.v1.1.fastGWA.gz	
MR03051	Treatment/medication code: adalat 5mg capsule	Calcium Channel Blockers	D002121	462933	1053.0	461880.0	UKB	Ben Elsworth	IEU-UKB	2018	1	1489992	1	https://gwas.mrcieu.ac.uk/files/ukb-b-6650/ukb-b-6650.vcf.gz	
FG01707	Volume of grey matter in Planum Polare (right)	Temporal Lobe	D013702	13627			UKB	Longda Jiang	31768069	2019	2	8494531	2744	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25869.v1.1.fastGWA.gz	
GCST90061433	Mid-point of the ten most active hours of the day	Africa South of the Sahara	D017954	88411			UKB	Qi G	35043453	2022	2	8559807	212	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90061001-GCST90062000/GCST90061433	
FG01180	Mean L3 in cerebral peduncle on FA skeleton (right)	Cerebral Peduncle	D065850	12101			UKB	Longda Jiang	31768069	2019	1	8492989	53	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25310.v1.1.fastGWA.gz	
FG00945	Mean FA in anterior limb of internal capsule on FA skeleton (right)	Internal Capsule	D020772	12101			UKB	Longda Jiang	31768069	2019	1	8492990	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25072.v1.1.fastGWA.gz	
PE03489	FI12 : square sequence recognition	Mathematics	D008433	9719	2264.0	7455.0	UKB	Pan-UKB team	Pan-UKB	2022	1	21297088	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-5790-both_sexes-5790.tsv.bgz	
PE04872	J10 Influenza due to identified influenza virus	Influenza A virus	D009980	420531	336.0	420195.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-J10-both_sexes.tsv.bgz	
PE04396	6mm strong meridian angle (right)	Optometry	D009907	75437			UKB	Pan-UKB team	Pan-UKB	2022	4	23797936	22	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-5106-both_sexes-irnt.tsv.bgz	
MR06877	Urate	Uric Acid	D014527	9753			EUR	Huffman JE	25811787	2015	3	2591960	720	https://gwas.mrcieu.ac.uk/files/ieu-a-791/ieu-a-791.vcf.gz	no MAF
FG01120	Mean L2 in pontine crossing tract on FA skeleton	Pyramidal Tracts	D011712	12101			UKB	Longda Jiang	31768069	2019	2	8492986	21	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25249.v1.1.fastGWA.gz	
PE06361	Retention of urine	Urinary Retention	D016055	405182	9337.0	395845.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861486	25	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-599.2-both_sexes.tsv.bgz	
PE06357	Abnormal findings on examination of urine	Fibrinogens, Abnormal	D015241	420531	4156.0	416375.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-598-both_sexes.tsv.bgz	
FG04120	Job SOC coding: Planning and quality control engineers	Job Description	D007587	113841	400.0	113441.0	UKB	Longda Jiang	34737426	2021	1	11842984	13	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22617_2128.v1.0.fastGWA.gz	
PA00432	Pulse pressure, automated reading, adjusted by medication	Blood Pressure	D001794	8206			UKB	Pan-UKB team	Pan-UKB	2022	2	15962099	7	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-PP-both_sexes-auto_medadj_irnt.tsv.bgz	
AT406	J30-J39 Other diseases of upper respiratory tract	Respiratory Tract Diseases	D012140	452264	15771.0	436493.0	UKB	Roslin Institute	30349118	2018	4	9124360	135	http://geneatlas.roslin.ed.ac.uk/	
FG01069	Mean MO in uncinate fasciculus on FA skeleton (left)	Uncinate Fasciculus	D000083382	12101			UKB	Longda Jiang	31768069	2019	1	8492991	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25197.v1.1.fastGWA.gz	
MR05651	Battered fish intake	Battered Women	D018585	64944			UKB	Ben Elsworth	IEU-UKB	2018	1	8581856	1	https://gwas.mrcieu.ac.uk/files/ukb-b-14166/ukb-b-14166.vcf.gz	
