meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note	index	trait_abbr	trait_code
FG01212	Mean L3 in tapetum on FA skeleton (right)	Superior Sagittal Sinus	D054063	12101			UKB	Longda Jiang	31768069	2019	3	8492974	23	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25342.v1.1.fastGWA.gz		11	MLITOFSR_FG01212	CAUSALdb_MLITOFSR_FG01212_11
GA304	Cereal type: Biscuit cereal (e.g. Weetabix)	Edible Grain	D002523	319477	56049.0	263428.0	UKB	CTGLAB	31427789	2019	1	10415062	5	https://atlas.ctglab.nl/		12	CTBCEGW_GA304	CAUSALdb_CTBCEGW_GA304_12
MR33290	Portion size	Portion Size	D064787	64949			UKB	Ben Elsworth	IEU-UKB	2018	1	8583399	3	https://gwas.mrcieu.ac.uk/files/ukb-b-5811/ukb-b-5811.vcf.gz		13	PS_MR33290	CAUSALdb_PS_MR33290_13
GD01739	CD4 regulatory T cell %CD4+ T cell	T-Lymphocytes, Regulatory	D050378	3437			EUR	Orrù V	32929287	2020	1	16874023	62	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001478		14	CRTCCTC_GD01739	CAUSALdb_CRTCCTC_GD01739_14
LD087	Acetoacetate	Acetoacetates	D000090	19262			EUR	Kettunen	27005778	2016	3	11808715	5	http://www.computationalmedicine.fi/data#NMR_GWAS		15	Acetoacetate_LD087	CAUSALdb_Acetoacetate_LD087_15
DB644	Triglyceride / High-density lipoprotein cholesterol ratio (at exam 7, GEE, adjusted for age and sex)	Cholesterol	D002784	1060			EUR	Kathiresan S	17903299	2007	1	103513	1	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=680		16	THDLCRAEGAFAAS_DB644	CAUSALdb_THDLCRAEGAFAAS_DB644_16
AT407	N64 Other disorders of breast	Breast Diseases	D001941	245494	1321.0	450943.0	UKB	Roslin Institute	30349118	2018	3	9124361	3	http://geneatlas.roslin.ed.ac.uk/		17	NODOB_AT407	CAUSALdb_NODOB_AT407_17
FG01018	Mean MD in superior fronto-occipital fasciculus on FA skeleton (right)	Superior Sagittal Sinus	D054063	12101			UKB	Longda Jiang	31768069	2019	1	8492980	6	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25146.v1.1.fastGWA.gz		18	MMISFOFOFSR_FG01018	CAUSALdb_MMISFOFOFSR_FG01018_18
PA00478	Type 2 diabetes	Diabetes Mellitus, Type 2	D003924	8845	1664.0	7181.0	UKB	Pan-UKB team	Pan-UKB	2022	1	15969169	35	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz		19	TD_PA00478	CAUSALdb_TD_PA00478_19
FG02274	Fracture of hand or wrist	Fracture Healing	D017102	456348	3030.0	453318.0	UKB	Longda Jiang	34737426	2021	2	11842560	52	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/804_PheCode.v1.0.fastGWA.gz		20	FOHOW_FG02274	CAUSALdb_FOHOW_FG02274_20
FG01524	Weighted-mean ICVF in tract parahippocampal part of cingulum (right)	Parahippocampal Gyrus	D020534	12098			UKB	Longda Jiang	31768069	2019	3	8493089	161	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25657.v1.1.fastGWA.gz		21	WMIITPPOCR_FG01524	CAUSALdb_WMIITPPOCR_FG01524_21
PE01426	Thickness of butter/margarine spread on other bread: medium	Margarine	D008383	58890	530.0	58360.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23734928	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20104-both_sexes-2.tsv.bgz		22	TOBMSOOBM_PE01426	CAUSALdb_TOBMSOOBM_PE01426_22
FG01151	Mean L2 in external capsule on FA skeleton (right)	External Capsule	D066271	12101			UKB	Longda Jiang	31768069	2019	2	8492965	271	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25280.v1.1.fastGWA.gz		23	MLIECOFSR_FG01151	CAUSALdb_MLIECOFSR_FG01151_23
PE06663	Other congenital anomalies of lower limb, including pelvic girdle	Pelvic Girdle Pain	D059388	419357	187.0	419170.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861553	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-755.6-both_sexes.tsv.bgz		24	OCAOLLIPG_PE06663	CAUSALdb_OCAOLLIPG_PE06663_24
PE06459	Excessive vomiting in pregnancy	Vomiting	D014839	227501	240.0	227261.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23859568	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-643-females.tsv.bgz		25	EVIP_PE06459	CAUSALdb_EVIP_PE06459_25
FG01460	Weighted-mean L1 in tract superior thalamic radiation (left)	Apolipoprotein L1	D000075944	12099			UKB	Longda Jiang	31768069	2019	1	8493124	13	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25592.v1.1.fastGWA.gz		26	WMLITSTRL_FG01460	CAUSALdb_WMLITSTRL_FG01460_26
GD00848	COVID-19 (very severe respiratory confirmed vs population) RELEASE 5	COVID-19	D000086382	1388342	5101.0	1383241.0	EUR	COVID-19 Host Genetics Initiative	32404885	2020	10	9704928	654	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST011001-GCST012000/GCST011075		27	CVSRCVPR_GD00848	CAUSALdb_CVSRCVPR_GD00848_27
FG00190	Coffee type: Other type of coffee	Coffee	D003069	357425	6129.0	351296.0	UKB	Longda Jiang	31768069	2019	1	8520538	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/1508_4.v1.1.fastGWA.gz		28	CTOTOC_FG00190	CAUSALdb_CTOTOC_FG00190_28
PE05657	Pituitary hyperfunction	Adrenocortical Hyperfunction	D000308	416315	438.0	415877.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861532	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-253.1-both_sexes.tsv.bgz		29	PH_PE05657	CAUSALdb_PH_PE05657_29
PE00790	Treatment/medication code: beclometasone	Anti-Asthmatic Agents	D018927	420473	3850.0	416623.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1656	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140909786.tsv.bgz		30	TMCB_PE00790	CAUSALdb_TMCB_PE00790_30
AT609	cranial nerve problem/palsy	Cranial Nerve Diseases	D003389	452264	884.0	451380.0	UKB	Roslin Institute	30349118	2018	7	9124370	81	http://geneatlas.roslin.ed.ac.uk/		31	CNPP_AT609	CAUSALdb_CNPP_AT609_31
PA01083	Hallux valgus (Bunion)	Hallux Valgus	D006215	411183	7656.0	403527.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861503	192	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-735.3-both_sexes.tsv.bgz		32	HVB_PA01083	CAUSALdb_HVB_PA01083_32
FG04422	Treatment/medication code: gtn - glyceryl trinitrate	Vasodilator Agents	D014665	456276	782.0	455494.0	UKB	Longda Jiang	34737426	2021	2	11842598	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140923670.v1.0.fastGWA.gz		33	TMCGGT_FG04422	CAUSALdb_TMCGGT_FG04422_33
PH375	Periodontal complex trait 3	Chronic Periodontitis	D055113	975	394.0	581.0	EUR	Offenbacher S	26962152	2016	2	2056431	2	https://www.ebi.ac.uk/gwas/downloads/summary-statistics	no MAF	34	PCT_PH375	CAUSALdb_PCT_PH375_34
CA145	Major depressive disorder (probable)	Depressive Disorder, Major	D003865	174519	30603.0	143916.0	UKB	Howard DM	29662059	2018	2	7666890	20	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HowardDM_29662059_GCST005904/UKBiobank_probableMDD_12Jan18.txt	no MAF	35	MDDP_CA145	CAUSALdb_MDDP_CA145_35
FG03618	Eye problems/disorders: Macular degeneration	Macular Degeneration	D008268	147979	3493.0	144486.0	UKB	Longda Jiang	34737426	2021	2	11841861	213	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/6148_5.v1.0.fastGWA.gz		36	EPDMD_FG03618	CAUSALdb_EPDMD_FG03618_36
F902058	Venous complications and haemorrhoids in the puerperium	Venous Cutdown	D016748	202553	286.0	202267.0	EUR	Kurki MI	36653562	2023	1	20005714	2	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_O15_VENOUS_COMPLIC.gz		37	VCAHITP_F902058	CAUSALdb_VCAHITP_F902058_37
FG03141	Fish consumer	Fishes	D005399	64001	18431.0	45570.0	UKB	Longda Jiang	34737426	2021	1	11841870	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/103140.v1.0.fastGWA.gz		38	FC_FG03141	CAUSALdb_FC_FG03141_38
MR10174	Croissant intake	Energy Intake	D002149	64943			UKB	Ben Elsworth	IEU-UKB	2018	3	8582899	5	https://gwas.mrcieu.ac.uk/files/ukb-b-4007/ukb-b-4007.vcf.gz		39	CI_MR10174	CAUSALdb_CI_MR10174_39
FG01034	Mean MO in inferior cerebellar peduncle on FA skeleton (right)	Cerebral Peduncle	D065850	12101			UKB	Longda Jiang	31768069	2019	1	8492976	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25162.v1.1.fastGWA.gz		40	MMIICPOFSR_FG01034	CAUSALdb_MMIICPOFSR_FG01034_40
PE00822	Treatment/medication code: losartan	Losartan	D019808	420473	3793.0	416680.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861553	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140916356.tsv.bgz		41	TMCL_PE00822	CAUSALdb_TMCL_PE00822_41
FG04370	Type of cancer: ICD10: PHESANT recoding	Neoplasms	D009369	247540	858.0	246682.0	UKB	Longda Jiang	34737426	2021	1	11842708	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/40006_C508.v1.0.fastGWA.gz		42	TOCIPR_FG04370	CAUSALdb_TOCIPR_FG04370_42
FG01448	Weighted-mean L1 in tract forceps minor	Pyramidal Tracts	D011712	12099			UKB	Longda Jiang	31768069	2019	1	8493131	94	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25580.v1.1.fastGWA.gz		43	WMLITFM_FG01448	CAUSALdb_WMLITFM_FG01448_43
PE03588	Eye problems/disorders: Macular degeneration	Macular Degeneration	D008268	135363	3224.0	132139.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23852037	424	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-6148-both_sexes-5.tsv.bgz		44	EPDMD_PE03588	CAUSALdb_EPDMD_PE03588_44
PE04969	L30 Other dermatitis	Dermatitis	D003872	420531	2079.0	418452.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	44	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-L30-both_sexes.tsv.bgz		45	LOD_PE04969	CAUSALdb_LOD_PE04969_45
PE00777	Treatment/medication code: felodipine	Felodipine	D015736	420473	3620.0	416853.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	11	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140888646.tsv.bgz		46	TMCF_PE00777	CAUSALdb_TMCF_PE00777_46
FG01086	Mean L1 in cerebral peduncle on FA skeleton (right)	Cerebral Peduncle	D065850	12101			UKB	Longda Jiang	31768069	2019	2	8492985	44	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25214.v1.1.fastGWA.gz		47	MLICPOFSR_FG01086	CAUSALdb_MLICPOFSR_FG01086_47
FG03922	Treatment/medication code: clopidogrel	Clopidogrel	D000077144	456276	2920.0	453356.0	UKB	Longda Jiang	34737426	2021	2	11842544	74	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1141168318.v1.0.fastGWA.gz		48	TMCC_FG03922	CAUSALdb_TMCC_FG03922_48
MR29300	Indian snacks intake	Snacks	D062410	64949			UKB	Ben Elsworth	IEU-UKB	2018	4	8582782	5	https://gwas.mrcieu.ac.uk/files/ukb-b-282/ukb-b-282.vcf.gz		49	ISI_MR29300	CAUSALdb_ISI_MR29300_49
FG01411	Weighted-mean MO in tract acoustic radiation (left)	Acoustic Maculae	D008267	12099			UKB	Longda Jiang	31768069	2019	1	8493112	9	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25542.v1.1.fastGWA.gz		50	WMMITARL_FG01411	CAUSALdb_WMMITARL_FG01411_50
PH334	Insulin disposition index	Insulin	D007328	5130			EUR	Prokopenko I	24699409	2014	1	2390693	25	http://www.magicinvestigators.org/downloads	no MAF	51	IDI_PH334	CAUSALdb_IDI_PH334_51
PE01931	Operative procedures - main OPCS4: B28.2 Partial excision of breast NEC	Surgical Procedures, Operative	D013514	420531	4691.0	415840.0	UKB	Pan-UKB team	Pan-UKB	2022	6	23861554	158	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-B282.tsv.bgz		52	OPMOBPEOBN_PE01931	CAUSALdb_OPMOBPEOBN_PE01931_52
FG00411	Number of correct matches in round	Matched-Pair Analysis	D016555	111546			UKB	Longda Jiang	31768069	2019	1	8518818	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/20131.v1.1.fastGWA.gz		53	NOCMIR_FG00411	CAUSALdb_NOCMIR_FG00411_53
F900917	Other specified and unspecified disorders of lens	Lens Diseases	D007905	313079	215.0	312864.0	EUR	Kurki MI	36653562	2023	1	20012619	82	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H7_DISORDERLENSNAS.gz		54	OSAUDOL_F900917	CAUSALdb_OSAUDOL_F900917_54
FG02116	Length of working week for main job	Employment	D004651	256010			UKB	Longda Jiang	31768069	2019	1	8524428	18	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/767.v1.1.fastGWA.gz		55	LOWWFMJ_FG02116	CAUSALdb_LOWWFMJ_FG02116_55
FG04493	Treatment/medication code: spiriva 18micrograms inhalation capsule	Bronchodilator Agents	D001993	456276	655.0	455621.0	UKB	Longda Jiang	34737426	2021	2	11842593	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1141182632.v1.0.fastGWA.gz		56	TMCSMIC_FG04493	CAUSALdb_TMCSMIC_FG04493_56
FG03693	Job SOC coding: Personnel and industrial relations officers	Job Description	D007587	113841	1817.0	112024.0	UKB	Longda Jiang	34737426	2021	2	11842944	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22617_3562.v1.0.fastGWA.gz		57	JSCPAIRO_FG03693	CAUSALdb_JSCPAIRO_FG03693_57
FG02241	Cellulitis and abscess of leg, except foot	Cellulitis	D002481	456348	4576.0	451772.0	UKB	Longda Jiang	34737426	2021	1	11842531	26	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/681.5_PheCode.v1.0.fastGWA.gz		58	CAAOLEF_FG02241	CAUSALdb_CAAOLEF_FG02241_58
GCST90038649	Cataracts	Cataract	D002386	484598	7038.0	477560.0	UKB	Dönertaş HM	33959723	2021	4	9837154	36	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038649		59	Cataracts_GCST90038649	CAUSALdb_Cataracts_GCST90038649_59
FG02088	Leisure/social activities: Adult education class	Leisure Activities	D007899	454813	32682.0	422131.0	UKB	Longda Jiang	31768069	2019	1	8527350	420	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/6160_4.v1.1.fastGWA.gz		60	LSAAEC_FG02088	CAUSALdb_LSAAEC_FG02088_60
GA042	Usual side of head for mobile phone use	Cell Phone Use	D000075782	324835			UKB	CTGLAB	31427789	2019	2	10431140	24	https://atlas.ctglab.nl/		61	USOHFMPU_GA042	CAUSALdb_USOHFMPU_GA042_61
AT627	M89 Other disorders of bone	Bone Diseases	D001847	452264	1664.0	450600.0	UKB	Roslin Institute	30349118	2018	2	9124361	3	http://geneatlas.roslin.ed.ac.uk/		62	MODOB_AT627	CAUSALdb_MODOB_AT627_62
GCST90061416	Physical activity (Total log acceleration 2pm-4pm)	Acceleration	D000054	88411			UKB	Qi G	35043453	2022	2	8559808	2	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90061001-GCST90062000/GCST90061416		63	PATLAPP_GCST90061416	CAUSALdb_PATLAPP_GCST90061416_63
GD00943	CXCL5 measurement	Chemokine CXCL5	D054365	982			EUR	Hillary RF	32641083	2020	1	7903071	117	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000461	no MAF	64	CM_GD00943	CAUSALdb_CM_GD00943_64
GD01287	Granulocyte Absolute Count	B-Lymphocytes	D001402	3653			EUR	Orrù V	32929287	2020	2	16942720	3	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001651		65	GAC_GD01287	CAUSALdb_GAC_GD01287_65
MR27535	Types of spread used on bread/crackers: Polyunsaturated margarine on bread/crackers	Bread	D001939	64949	13693.0	51256.0	UKB	Ben Elsworth	IEU-UKB	2018	1	6365913	1	https://gwas.mrcieu.ac.uk/files/ukb-b-319/ukb-b-319.vcf.gz		66	TOSUOBCPMOBC_MR27535	CAUSALdb_TOSUOBCPMOBC_MR27535_66
FG03109	Ever suffered mental distress preventing usual activities	Stress, Psychological	D013315	145805	48729.0	97076.0	UKB	Longda Jiang	34737426	2021	5	11842058	119	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20500.v1.0.fastGWA.gz		67	ESMDPUA_FG03109	CAUSALdb_ESMDPUA_FG03109_67
PE00186	Non-cancer illness code, self-reported: peripheral vascular disease	Peripheral Vascular Diseases	D016491	420473	785.0	419688.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861554	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1067.tsv.bgz		68	NCICSRPVD_PE00186	CAUSALdb_NCICSRPVD_PE00186_68
PE04064	Age when first had unusual or psychotic experience	Affective Disorders, Psychotic	D000341	5312			UKB	Pan-UKB team	Pan-UKB	2022	2	20004879	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20461-both_sexes-irnt.tsv.bgz		69	AWFHUOPE_PE04064	CAUSALdb_AWFHUOPE_PE04064_69
GD01663	SSC-A on HLA DR+ T cell	Chemokines	D018925	3060			EUR	Orrù V	32929287	2020	1	16553090	39	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002083		70	SAOHDTC_GD01663	CAUSALdb_SAOHDTC_GD01663_70
PE00388	Non-cancer illness code, self-reported: cystitis	Cystitis	D003556	420473	335.0	420138.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1514.tsv.bgz		71	NCICSRC_PE00388	CAUSALdb_NCICSRC_PE00388_71
PE04143	Rest days during mixed shift periods	Job Description	D007587	20137			UKB	Pan-UKB team	Pan-UKB	2022	2	22652535	4	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-22645-both_sexes.tsv.bgz		72	RDDMSP_PE04143	CAUSALdb_RDDMSP_PE04143_72
PE02860	Operative procedures - main OPCS4: W38.3 Revision of total prosthetic replacement of hip joint not using cement	Surgical Procedures, Operative	D013514	420531	221.0	420310.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-W383.tsv.bgz		73	OPMOWROTPROHJNUC_PE02860	CAUSALdb_OPMOWROTPROHJNUC_PE02860_73
OT254	Zinc sulfate turbidity test	Zinc Sulfate	D019287	12303			EAS	Kanai M	29403010	2018	2	4028136	56	http://jenger.riken.jp/en/result	no MAF	74	ZSTT_OT254	CAUSALdb_ZSTT_OT254_74
FG03000	Optic neuritis/neuropathy	Optic Neuritis	D009902	456348	105.0	456243.0	UKB	Longda Jiang	34737426	2021	1	11842630	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/377.3_PheCode.v1.0.fastGWA.gz		75	ONN_FG03000	CAUSALdb_ONN_FG03000_75
PE05674	Anorexia	Anorexia	D000855	417818	1126.0	416692.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861547	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-260.6-both_sexes.tsv.bgz		76	Anorexia_PE05674	CAUSALdb_Anorexia_PE05674_76
MR35197	Other savoury snack intake	Energy Intake	D002149	64949			UKB	Ben Elsworth	IEU-UKB	2018	2	8582162	3	https://gwas.mrcieu.ac.uk/files/ukb-b-18718/ukb-b-18718.vcf.gz		77	OSSI_MR35197	CAUSALdb_OSSI_MR35197_77
BE009	M17 Gonarthrosis [arthrosis of knee]	Osteoarthritis, Knee	D020370	361194	11497.0	349697.0	UKB	Nealelab	Nealelab	2018	10	10816223	172	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859300		78	MGAOK_BE009	CAUSALdb_MGAOK_BE009_78
FG02925	Occlusion of cerebral arteries, with cerebral infarction	Cerebrovascular Disorders	D002561	456348	134.0	456214.0	UKB	Longda Jiang	34737426	2021	1	11842623	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/433.11_PheCode.v1.0.fastGWA.gz		79	OOCAWCI_FG02925	CAUSALdb_OOCAWCI_FG02925_79
F901055	Other infective otitis externa	Otitis Externa	D010032	368626	1621.0	367005.0	EUR	Kurki MI	36653562	2023	1	20014126	4	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H8_EXT_INFNAS.gz		80	OIOE_F901055	CAUSALdb_OIOE_F901055_80
FG02355	Bladder neck obstruction	Urinary Bladder Neck Obstruction	D001748	456348	1621.0	454727.0	UKB	Longda Jiang	34737426	2021	1	11842578	7	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/596.1_PheCode.v1.0.fastGWA.gz		81	BNO_FG02355	CAUSALdb_BNO_FG02355_81
PE06631	Pathologic fracture of vertebrae	Pathologic Processes	D010335	411453	415.0	411038.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861528	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-743.21-both_sexes.tsv.bgz		82	PFOV_PE06631	CAUSALdb_PFOV_PE06631_82
PE01530	Country of Birth (non-UK origin): Malaysia	Malaysia	D008296	11618	200.0	11418.0	UKB	Pan-UKB team	Pan-UKB	2022	2	22399944	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20115-both_sexes-226.tsv.bgz		83	COBNUOM_PE01530	CAUSALdb_COBNUOM_PE01530_83
MR38586	Fasting blood insulin	Fasting	D005215	51750			EUR	Manning AK	22581228	2012	4	2581172	32	https://gwas.mrcieu.ac.uk/files/ebi-a-GCST005185/ebi-a-GCST005185.vcf.gz		84	FBI_MR38586	CAUSALdb_FBI_MR38586_84
FG01112	Mean L1 in superior longitudinal fasciculus on FA skeleton (right)	Superior Sagittal Sinus	D054063	12101			UKB	Longda Jiang	31768069	2019	2	8492960	3076	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25240.v1.1.fastGWA.gz		85	MLISLFOFSR_FG01112	CAUSALdb_MLISLFOFSR_FG01112_85
AT637	type 2 diabetes	Diabetes Mellitus, Type 2	D003924	452264	2889.0	449375.0	UKB	Roslin Institute	30349118	2018	4	9124366	88	http://geneatlas.roslin.ed.ac.uk/		86	TD_AT637	CAUSALdb_TD_AT637_86
