f_tf_name	f_tf_id	f_family	f_protein	f_entrez_id
DMRT2	ENSG00000173253	DM	ENSP00000259622.6;ENSP00000489226.1;ENSP00000397494.2;ENSP00000371686.3;ENSP00000350865.2;ENSP00000371690.3;	10655
PAX1	ENSG00000125813	PAX	ENSP00000410355.2;ENSP00000481334.1;ENSP00000381499.2;	5075
ZFP91	ENSG00000186660	zf-C2H2	ENSP00000339030.5;	80829
ZNF30	ENSG00000168661	zf-C2H2	ENSP00000303889.7;ENSP00000403441.1;ENSP00000469954.1;	90075
EGR4	ENSG00000135625	zf-C2H2	ENSP00000419687.1;ENSP00000445626.1;	
ETV1	ENSG00000006468	ETS	ENSP00000384138.1;ENSP00000405327.1;ENSP00000385551.2;ENSP00000385686.1;ENSP00000382293.3;ENSP00000384085.4;ENSP00000242066.5;ENSP00000385381.2;ENSP00000411626.2;	2115
ZNF679	ENSG00000197123	zf-C2H2	ENSP00000416809.1;ENSP00000255746.4;	168417
TSC22D2	ENSG00000196428	TSC22	ENSP00000354543.2;ENSP00000510392.1;ENSP00000417747.1;	9819
ZNF236	ENSG00000130856	zf-C2H2	ENSP00000322361.9;ENSP00000463787.1;ENSP00000253159.8;ENSP00000444524.2;	7776
ZBTB2	ENSG00000181472	ZBTB	ENSP00000323183.4;ENSP00000323183.4;	57621
NSD2	ENSG00000109685	HMG	ENSP00000425761.1;ENSP00000329167.5;ENSP00000504406.1;ENSP00000427516.2;ENSP00000372347.5;ENSP00000381311.1;ENSP00000423972.1;ENSP00000372348.2;ENSP00000308780.6;ENSP00000372351.3;ENSP00000421681.1;ENSP00000424482.1;ENSP00000399251.2;	7468
MYOG	ENSG00000122180	bHLH	ENSP00000241651.4;	4656
MEIS1	ENSG00000143995	Homeobox	ENSP00000454209.1;ENSP00000381518.2;ENSP00000440571.1;ENSP00000475161.1;ENSP00000272369.8;	
ZNF32	ENSG00000169740	zf-C2H2	ENSP00000363556.2;ENSP00000379143.1;	7580
HOXB6	ENSG00000108511	Homeobox	ENSP00000225648.3;ENSP00000420009.2;	3216
FOXE3	ENSG00000186790	Fork_head	ENSP00000334472.2;	
GTF2IRD1	ENSG00000006704	GTF2I	ENSP00000408477.2;ENSP00000418383.1;ENSP00000417909.1;ENSP00000265755.3;ENSP00000397566.2;	9569
ZNF223	ENSG00000178386	zf-C2H2	ENSP00000401947.1;ENSP00000467647.1;	7766
TLX3	ENSG00000164438	Homeobox	ENSP00000296921.5;	
FOXQ1	ENSG00000164379	Fork_head	ENSP00000296839.2;	94234
ALX3	ENSG00000156150	Homeobox	ENSP00000497310.1;ENSP00000497035.1;	
TSC22D1	ENSG00000102804	TSC22	ENSP00000261489.2;ENSP00000481585.1;ENSP00000397435.2;ENSP00000483407.1;	8848
HOXA5	ENSG00000106004	Homeobox	ENSP00000222726.3;	3202
RFX3	ENSG00000080298	RFX	ENSP00000405664.1;ENSP00000351574.2;ENSP00000303847.2;ENSP00000482598.1;ENSP00000371434.3;	5991
PDX1	ENSG00000139515	Homeobox	ENSP00000370421.4;	3651
ELK1	ENSG00000126767	ETS	ENSP00000345585.4;ENSP00000247161.3;ENSP00000366182.3;	2002
ZNF316	ENSG00000205903	zf-C2H2	ENSP00000477706.1;	100131017
ZNF268	ENSG00000090612	zf-C2H2	ENSP00000228289.5;ENSP00000444412.3;	10795
SOX15	ENSG00000129194	HMG	ENSP00000458286.1;ENSP00000355354.2;ENSP00000439311.2;	6665
PGR	ENSG00000082175	ESR-like	ENSP00000325120.5;ENSP00000436561.1;ENSP00000482698.1;ENSP00000432914.1;ENSP00000436803.1;ENSP00000432352.1;ENSP00000487607.1;ENSP00000263463.5;	5241
TRPS1	ENSG00000104447	zf-GATA	ENSP00000428910.1;ENSP00000428680.1;ENSP00000220888.5;ENSP00000379065.3;ENSP00000428121.1;ENSP00000492037.1;	7227
MAZ	ENSG00000103495	zf-C2H2	ENSP00000458201.1;ENSP00000455913.1;ENSP00000219782.6;ENSP00000443956.1;ENSP00000461630.1;ENSP00000460057.1;ENSP00000313362.6;ENSP00000455794.1;	4150
NKX6-2	ENSG00000148826	Homeobox	ENSP00000357581.5;	84504
NR4A3	ENSG00000119508	NGFIB-like	ENSP00000333122.1;ENSP00000482027.1;ENSP00000378531.2;ENSP00000340301.4;	8013
UBTFL1	ENSG00000255009	HMG	ENSP00000485108.1;	642623
CEBPB	ENSG00000172216	TF_bZIP	ENSP00000305422.3;	1051
ZNF354A	ENSG00000169131	zf-C2H2	ENSP00000337122.2;	6940
CEBPD	ENSG00000221869	TF_bZIP	ENSP00000386165.3;	1052
ZNF135	ENSG00000176293	zf-C2H2	ENSP00000321406.5;ENSP00000427691.1;ENSP00000369437.4;ENSP00000422074.1;ENSP00000441410.1;	7694
NKX2-3	ENSG00000119919	Homeobox	ENSP00000342828.7;	
SOX2	ENSG00000181449	HMG	ENSP00000323588.1;	6657
MAFF	ENSG00000185022	TF_bZIP	ENSP00000388882.2;ENSP00000441482.1;ENSP00000345393.2;ENSP00000442060.1;ENSP00000416493.1;ENSP00000391589.1;ENSP00000384094.1;	23764
ZBTB45	ENSG00000119574	ZBTB	ENSP00000346603.2;ENSP00000346603.2;ENSP00000469089.1;ENSP00000470316.1;ENSP00000473072.1;	84878
ZNF461	ENSG00000197808	zf-C2H2	ENSP00000467931.1;ENSP00000479585.1;ENSP00000353515.4;	92283
SP2	ENSG00000167182	zf-C2H2	ENSP00000365931.4;	6668
PINX1	ENSG00000258724	HMG	ENSP00000451145.1;	54984
ZNF500	ENSG00000103199	zf-C2H2	ENSP00000445714.1;ENSP00000464747.1;ENSP00000219478.5;	26048
ESRRB	ENSG00000119715	ESR-like	ENSP00000423004.1;ENSP00000424992.2;ENSP00000493776.1;ENSP00000422488.1;ENSP00000494434.1;ENSP00000370270.2;	2103
ZNF439	ENSG00000171291	zf-C2H2	ENSP00000305077.2;ENSP00000395632.1;ENSP00000506930.1;	90594
NOBOX	ENSG00000106410	Homeobox	ENSP00000496732.1;ENSP00000419457.1;ENSP00000495343.1;ENSP00000419565.1;	135935
ZNF581	ENSG00000171425	zf-C2H2	ENSP00000466047.1;ENSP00000270451.4;ENSP00000466564.1;ENSP00000466338.1;	51545
ZNF600	ENSG00000189190	zf-C2H2	ENSP00000509267.1;ENSP00000509375.1;ENSP00000497540.1;ENSP00000510246.1;ENSP00000344791.2;	162966
GZF1	ENSG00000125812	ZBTB	ENSP00000338290.5;ENSP00000338290.5;ENSP00000366250.2;	64412
ZNF8	ENSG00000278129	zf-C2H2	ENSP00000477716.1;	
HOXA1	ENSG00000105991	Homeobox	ENSP00000494260.2;	3198
ZNF713	ENSG00000178665	zf-C2H2	ENSP00000487818.1;ENSP00000416662.3;	349075
LCOR	ENSG00000196233	HTH	ENSP00000501887.1;ENSP00000348298.2;ENSP00000501639.1;ENSP00000360144.3;ENSP00000360138.3;ENSP00000502316.1;ENSP00000501560.1;ENSP00000443431.1;ENSP00000502416.1;ENSP00000502633.1;ENSP00000502138.1;	84458
E2F3	ENSG00000112242	E2F	ENSP00000262904.4;ENSP00000443418.1;	1871
IRF4	ENSG00000137265	IRF	ENSP00000436094.1;ENSP00000370343.4;	3662
ZNF17	ENSG00000186272	zf-C2H2	ENSP00000471905.1;ENSP00000302455.7;	7565
EMX1	ENSG00000135638	Homeobox	ENSP00000446992.1;ENSP00000258106.6;	2016
ZNF583	ENSG00000198440	zf-C2H2	ENSP00000388502.2;ENSP00000291598.7;	147949
PRRX2	ENSG00000167157	Homeobox	ENSP00000361547.4;	
GCM1	ENSG00000137270	GCM	ENSP00000259803.7;	8521
MAFK	ENSG00000198517	TF_bZIP	ENSP00000386009.1;ENSP00000344903.4;ENSP00000385437.2;	7975
TSHZ3	ENSG00000121297	zf-C2H2	ENSP00000240587.4;	57616
MZF1	ENSG00000099326	zf-C2H2	ENSP00000469493.1;ENSP00000215057.1;	7593
ZNF205	ENSG00000122386	zf-C2H2	ENSP00000460890.1;ENSP00000219091.4;ENSP00000480401.1;ENSP00000371627.3;	7755
ZNF672	ENSG00000171161	zf-C2H2	ENSP00000421915.1;ENSP00000426199.1;ENSP00000427021.1;	79894
PLAGL1	ENSG00000118495	zf-C2H2	ENSP00000501459.1;ENSP00000496979.1;ENSP00000486355.1;ENSP00000346810.2;ENSP00000485907.1;ENSP00000487447.1;ENSP00000395960.2;ENSP00000356543.1;ENSP00000486752.1;ENSP00000486632.1;ENSP00000496815.1;ENSP00000353734.2;ENSP00000496874.1;ENSP00000400929.1;ENSP00000356544.1;ENSP00000486763.1;ENSP00000497363.1;ENSP00000400060.1;ENSP00000392418.1;ENSP00000497492.1;	5325
ZNF578	ENSG00000258405	zf-C2H2	ENSP00000459216.1;	147660
ZNF665	ENSG00000197497	zf-C2H2	ENSP00000498600.1;ENSP00000469154.1;ENSP00000379702.2;	79788
E2F1	ENSG00000101412	E2F	ENSP00000345571.5;	1869
ZBTB42	ENSG00000179627	ZBTB	ENSP00000409107.2;ENSP00000409107.2;ENSP00000450673.1;ENSP00000450673.1;	100128927
ZNF736	ENSG00000234444	zf-C2H2	ENSP00000400852.1;ENSP00000347210.4;	728927
ZNF705A	ENSG00000196946	zf-C2H2	ENSP00000352233.4;ENSP00000379816.3;ENSP00000481663.1;	440077
HOXA10	ENSG00000253293	Homeobox	ENSP00000379633.4;ENSP00000283921.4;	3206
BACH2	ENSG00000112182	TF_bZIP	ENSP00000257749.4;ENSP00000397668.1;ENSP00000345642.3;ENSP00000384145.2;ENSP00000437473.1;	60468
ZNF770	ENSG00000198146	zf-C2H2	ENSP00000348673.4;ENSP00000453474.1;	54989
HEY1	ENSG00000164683	bHLH	ENSP00000429705.1;ENSP00000338272.5;ENSP00000501370.1;ENSP00000346761.3;ENSP00000501342.1;ENSP00000501320.1;ENSP00000501529.1;	23462
ZNF446	ENSG00000083838	zf-C2H2	ENSP00000478778.1;ENSP00000472802.1;ENSP00000472219.1;	55663
ZNF571	ENSG00000180479	zf-C2H2	ENSP00000467572.1;ENSP00000392638.1;ENSP00000351594.3;ENSP00000333660.2;	51276
MYF5	ENSG00000111049	bHLH	ENSP00000228644.3;	
POU6F2	ENSG00000106536	Pou	ENSP00000430514.3;ENSP00000384004.1;	11281
ZMIZ2	ENSG00000122515	zf-MIZ	ENSP00000265346.7;ENSP00000409648.1;ENSP00000396601.1;ENSP00000311778.4;ENSP00000414723.1;	83637
NFILZ	ENSG00000268480	TF_bZIP	ENSP00000500604.1;ENSP00000509575.1;ENSP00000500121.1;ENSP00000499970.1;	105372267
ZNF415	ENSG00000170954	zf-C2H2	ENSP00000395055.2;ENSP00000243643.3;ENSP00000439435.1;ENSP00000472911.1;	55786
ZNF776	ENSG00000152443	zf-C2H2	ENSP00000321812.5;	284309
KLF17	ENSG00000171872	zf-C2H2	ENSP00000361373.3;	128209
TCF15	ENSG00000125878	bHLH	ENSP00000246080.3;	
ZNF549	ENSG00000121406	zf-C2H2	ENSP00000240719.2;ENSP00000365407.2;	256051
MESP1	ENSG00000166823	bHLH	ENSP00000300057.4;	55897
MAEL	ENSG00000143194	HMG	ENSP00000356846.4;	84944
JAZF1	ENSG00000153814	zf-C2H2	ENSP00000283928.5;	221895
PAX6	ENSG00000007372	PAX	ENSP00000492024.1;ENSP00000491210.1;ENSP00000492822.1;ENSP00000491280.1;ENSP00000368406.3;ENSP00000491267.1;ENSP00000492808.1;ENSP00000492397.1;ENSP00000491492.1;ENSP00000404100.1;ENSP00000492437.1;ENSP00000491295.1;ENSP00000492756.1;ENSP00000491365.1;ENSP00000404356.2;ENSP00000492129.1;ENSP00000492587.1;ENSP00000491948.1;ENSP00000491872.1;ENSP00000492181.1;ENSP00000397384.2;ENSP00000491065.1;ENSP00000492769.1;ENSP00000492476.1;ENSP00000492316.1;ENSP00000491779.1;ENSP00000368427.2;ENSP00000492177.1;ENSP00000492658.1;ENSP00000491679.1;ENSP00000491944.1;ENSP00000368418.6;ENSP00000492081.1;ENSP00000492111.1;ENSP00000490971.1;ENSP00000368403.2;ENSP00000490963.1;ENSP00000495109.1;ENSP00000388132.3;ENSP00000241001.8;ENSP00000368410.5;ENSP00000368424.2;ENSP00000480026.1;ENSP00000491862.1;ENSP00000491324.1;ENSP00000368401.2;ENSP00000492409.1;ENSP00000492802.1;ENSP00000491517.1;ENSP00000491214.1;ENSP00000431585.2;ENSP00000492166.1;ENSP00000492205.1;ENSP00000491229.1;ENSP00000492315.2;ENSP00000491904.1;	5080
ZNF575	ENSG00000176472	zf-C2H2	ENSP00000315870.4;ENSP00000413956.2;ENSP00000471083.2;ENSP00000472578.1;	284346
ZNF594	ENSG00000180626	zf-C2H2	ENSP00000382513.4;ENSP00000461032.1;	84622
IRF6	ENSG00000117595	IRF	ENSP00000496669.1;ENSP00000403855.1;ENSP00000355988.3;	3664
MSX1	ENSG00000163132	Homeobox	ENSP00000372170.4;	4487
ZNF429	ENSG00000197013	zf-C2H2	ENSP00000351280.3;	353088
ZNF718	ENSG00000250312	zf-C2H2	ENSP00000480556.1;ENSP00000476435.1;	255403
ZNF107	ENSG00000196247	zf-C2H2	ENSP00000343443.3;ENSP00000400037.1;ENSP00000481898.1;ENSP00000483720.1;	51427
SATB1	ENSG00000182568	CUT	ENSP00000399708.2;ENSP00000399518.1;ENSP00000341024.5;	6304
ADNP	ENSG00000101126	Homeobox	ENSP00000483881.1;ENSP00000495540.1;ENSP00000379346.3;ENSP00000360662.2;ENSP00000501294.1;ENSP00000342905.3;ENSP00000379349.2;	23394
ZSCAN26	ENSG00000197062	zf-C2H2	ENSP00000479314.1;ENSP00000484931.1;ENSP00000481707.1;ENSP00000484018.1;ENSP00000478769.1;ENSP00000485228.1;	7741
NFATC3	ENSG00000072736	RHD	ENSP00000460533.1;ENSP00000300659.5;ENSP00000331324.4;ENSP00000456379.1;ENSP00000264008.6;ENSP00000456120.1;	4775
MITF	ENSG00000187098	bHLH	ENSP00000509358.1;ENSP00000324443.5;ENSP00000377880.3;ENSP00000324246.6;ENSP00000510225.1;ENSP00000494105.1;ENSP00000391803.3;ENSP00000295600.8;ENSP00000418845.1;ENSP00000398639.1;ENSP00000509845.1;ENSP00000435909.1;	4286
KLF6	ENSG00000067082	zf-C2H2	ENSP00000419923.1;	1316
ETV4	ENSG00000175832	ETS	ENSP00000465718.1;ENSP00000377273.1;ENSP00000443846.1;ENSP00000441749.1;ENSP00000321835.4;ENSP00000468636.1;ENSP00000440023.1;	2118
CREB3	ENSG00000107175	TF_bZIP	ENSP00000342136.2;	
TBR1	ENSG00000136535	T-box	ENSP00000374205.3;ENSP00000387023.1;ENSP00000393934.1;	
MXD1	ENSG00000059728	bHLH	ENSP00000386523.2;ENSP00000410672.1;ENSP00000443935.1;ENSP00000264444.2;	4084
ZSCAN25	ENSG00000197037	zf-C2H2	ENSP00000377708.2;ENSP00000334800.3;ENSP00000262941.7;	221785
PRDM9	ENSG00000164256	zf-C2H2	ENSP00000296682.4;	56979
ZNF652	ENSG00000198740	zf-C2H2	ENSP00000416305.2;ENSP00000424848.1;ENSP00000354686.2;	22834
ZNF654	ENSG00000175105	zf-C2H2	ENSP00000490842.1;	55279
TBX6	ENSG00000149922	T-box	ENSP00000279386.2;ENSP00000461223.1;ENSP00000378650.2;ENSP00000460425.1;	6911
EBF3	ENSG00000108001	COE	ENSP00000347463.4;ENSP00000387543.2;ENSP00000357637.3;	253738
ZNF84	ENSG00000198040	zf-C2H2	ENSP00000331465.7;ENSP00000445820.1;ENSP00000376133.2;ENSP00000445549.1;ENSP00000437949.1;	7637
ATOH8	ENSG00000168874	bHLH	ENSP00000304676.3;	84913
FOXD4L4	ENSG00000184659	Fork_head	ENSP00000366630.1;	349334
KLF13	ENSG00000169926	zf-C2H2	ENSP00000302456.3;ENSP00000452609.1;	51621
CCDC169-SOHLH2	ENSG00000250709	bHLH	ENSP00000421868.1;	100526761
ZNF469	ENSG00000225614	zf-C2H2	ENSP00000456500.2;ENSP00000402343.1;	84627
ZBTB22	ENSG00000236104	ZBTB	ENSP00000404403.1;ENSP00000404403.1;ENSP00000407545.2;	9278
PAX7	ENSG00000009709	PAX	ENSP00000364524.3;ENSP00000383502.3;ENSP00000403389.2;	5081
ZNF547	ENSG00000152433	zf-C2H2	ENSP00000282282.3;	284306
ZNF626	ENSG00000188171	zf-C2H2	ENSP00000469958.1;ENSP00000469566.1;	199777
TBX22	ENSG00000122145	T-box	ENSP00000362393.3;ENSP00000362390.5;ENSP00000487527.1;	50945
ZNF563	ENSG00000188868	zf-C2H2	ENSP00000471960.1;ENSP00000469879.1;ENSP00000293725.5;	147837
HOXA13	ENSG00000106031	Homeobox	ENSP00000497112.1;	3209
ZNF442	ENSG00000198342	zf-C2H2	ENSP00000440162.2;ENSP00000242804.4;ENSP00000388634.1;ENSP00000404935.1;	79973
SRY	ENSG00000184895	HMG	ENSP00000372547.1;	6736
ZFP92	ENSG00000189420	zf-C2H2	ENSP00000462054.1;	139735
DBP	ENSG00000105516	TF_bZIP	ENSP00000222122.4;ENSP00000469426.1;ENSP00000471220.1;	1628
ARX	ENSG00000004848	Homeobox	ENSP00000368332.4;	170302
ZHX3	ENSG00000174306	Homeobox	ENSP00000452965.1;ENSP00000506788.1;ENSP00000415498.3;ENSP00000443783.2;ENSP00000312222.4;ENSP00000405421.1;ENSP00000454006.1;	23051
ZFY	ENSG00000067646	zf-C2H2	ENSP00000372525.1;ENSP00000155093.3;ENSP00000393908.1;ENSP00000485605.1;	7544
CREB3L1	ENSG00000157613	TF_bZIP	ENSP00000436574.1;ENSP00000481956.1;	90993
ZSCAN10	ENSG00000130182	zf-C2H2	ENSP00000440047.2;ENSP00000458879.2;ENSP00000252463.2;ENSP00000459520.1;	84891
EGR2	ENSG00000122877	zf-C2H2	ENSP00000387634.1;ENSP00000509830.1;ENSP00000490154.2;ENSP00000242480.3;	1959
ZNF775	ENSG00000196456	zf-C2H2	ENSP00000330838.5;ENSP00000419336.1;ENSP00000417483.1;	
GSC	ENSG00000133937	Homeobox	ENSP00000238558.3;	145258
NKX2-4	ENSG00000125816	Homeobox	ENSP00000345147.4;	
NFATC4	ENSG00000100968	RHD	ENSP00000452270.1;ENSP00000450733.1;ENSP00000450469.1;ENSP00000250373.4;ENSP00000451395.1;ENSP00000451502.1;ENSP00000451183.1;ENSP00000451454.1;ENSP00000450810.1;ENSP00000396788.3;ENSP00000452349.1;ENSP00000439350.2;ENSP00000450644.1;ENSP00000388910.2;ENSP00000388668.2;ENSP00000451224.1;ENSP00000451151.1;ENSP00000450590.1;ENSP00000452039.1;ENSP00000450686.1;ENSP00000451284.1;	4776
ZBTB46	ENSG00000130584	ZBTB	ENSP00000303102.2;ENSP00000303102.2;ENSP00000245663.3;ENSP00000245663.3;ENSP00000378536.1;	140685
ZIC4	ENSG00000174963	zf-C2H2	ENSP00000418277.1;ENSP00000435509.2;ENSP00000420775.1;ENSP00000372553.3;ENSP00000417855.1;ENSP00000397695.3;ENSP00000420627.2;	84107
MEF2A	ENSG00000068305	SRF	ENSP00000453478.1;ENSP00000452989.1;ENSP00000508747.1;ENSP00000509700.1;ENSP00000346389.5;ENSP00000454023.1;ENSP00000453095.1;ENSP00000453441.1;ENSP00000509137.1;ENSP00000509537.1;ENSP00000337202.8;	4205
ID1	ENSG00000125968	bHLH	ENSP00000365273.3;ENSP00000365280.3;	3397
TULP2	ENSG00000104804	Tub	ENSP00000429131.1;ENSP00000221399.3;	7288
MGA	ENSG00000174197	T-box	ENSP00000457474.1;ENSP00000219905.7;ENSP00000457035.2;ENSP00000455155.2;ENSP00000456141.1;	23269
MYBL2	ENSG00000101057	MYB	ENSP00000380072.4;ENSP00000217026.4;	4605
ZNF606	ENSG00000166704	zf-C2H2	ENSP00000446972.2;ENSP00000343617.4;	80095
TULP4	ENSG00000130338	Tub	ENSP00000356064.3;	56995
GATA1	ENSG00000102145	zf-GATA	ENSP00000365858.3;ENSP00000365853.3;ENSP00000498550.1;	2623
FOXR2	ENSG00000189299	Fork_head	ENSP00000427329.2;	139628
AHR	ENSG00000106546	bHLH	ENSP00000436466.1;ENSP00000242057.4;ENSP00000495987.1;	196
HOXB3	ENSG00000120093	Homeobox	ENSP00000449977.1;ENSP00000418892.1;ENSP00000308252.4;ENSP00000418035.1;ENSP00000418729.1;ENSP00000420595.1;ENSP00000419676.1;ENSP00000417207.1;	3213
ZNF230	ENSG00000159882	zf-C2H2	ENSP00000409318.1;	7773
PBX1	ENSG00000185630	Homeobox	ENSP00000485692.1;ENSP00000439943.2;ENSP00000453188.1;ENSP00000356872.1;ENSP00000452727.1;ENSP00000483563.1;ENSP00000405890.2;	5087
MTA3	ENSG00000057935	zf-GATA	ENSP00000383973.1;ENSP00000385045.3;ENSP00000385823.1;ENSP00000391455.1;ENSP00000384249.1;ENSP00000385241.1;ENSP00000386763.1;	57504
CSRNP2	ENSG00000110925	CSRNP_N	ENSP00000447065.1;ENSP00000228515.1;ENSP00000447657.1;ENSP00000447983.1;	81566
ZBED2	ENSG00000177494	zf-BED	ENSP00000321370.4;	
NR1I3	ENSG00000143257	THR-like	ENSP00000423089.1;ENSP00000412672.2;ENSP00000356959.2;ENSP00000424345.1;ENSP00000423666.1;ENSP00000399361.2;ENSP00000426016.1;ENSP00000421588.1;ENSP00000356958.2;ENSP00000406493.2;ENSP00000426292.1;ENSP00000425417.1;ENSP00000407446.2;ENSP00000356962.5;ENSP00000425607.1;ENSP00000427600.1;ENSP00000421374.1;ENSP00000425900.1;ENSP00000356961.4;ENSP00000356960.3;ENSP00000423007.1;ENSP00000427034.1;ENSP00000356965.3;ENSP00000487337.1;ENSP00000424834.1;ENSP00000356963.4;ENSP00000424934.1;ENSP00000427175.1;ENSP00000422982.1;	9970
ATF7	ENSG00000170653	TF_bZIP	ENSP00000387406.3;ENSP00000399465.1;ENSP00000449938.1;	11016
ZBTB10	ENSG00000205189	ZBTB	ENSP00000368384.4;ENSP00000368384.4;ENSP00000484716.1;ENSP00000484716.1;ENSP00000387462.1;ENSP00000387462.1;ENSP00000416134.2;ENSP00000412036.3;	
ZNF568	ENSG00000198453	zf-C2H2	ENSP00000466901.1;ENSP00000334685.7;ENSP00000389794.1;ENSP00000482444.1;ENSP00000413396.2;ENSP00000481819.1;ENSP00000399643.1;ENSP00000394514.1;	374900
ZNF304	ENSG00000131845	zf-C2H2	ENSP00000470319.1;ENSP00000401642.2;ENSP00000375586.3;ENSP00000282286.4;	57343
ZNF527	ENSG00000189164	zf-C2H2	ENSP00000390179.2;	84503
FOXI2	ENSG00000186766	Fork_head	ENSP00000373572.4;	399823
AFF2	ENSG00000155966	AF-4	ENSP00000359489.2;ENSP00000359486.6;ENSP00000286437.5;ENSP00000345459.4;ENSP00000359487.1;	2334
ZNF761	ENSG00000160336	zf-C2H2	ENSP00000507666.1;ENSP00000480218.1;	388561
ZNF747	ENSG00000169955	zf-C2H2	ENSP00000457274.1;ENSP00000509633.1;	65988
MEIS3	ENSG00000105419	Homeobox	ENSP00000475941.1;ENSP00000453934.1;ENSP00000333552.4;ENSP00000452854.1;ENSP00000453307.1;ENSP00000454073.1;ENSP00000453757.2;ENSP00000388667.2;	56917
TFAP2E	ENSG00000116819	AP-2	ENSP00000362332.3;	339488
FEV	ENSG00000163497	ETS	ENSP00000295727.1;	54738
HOXC9	ENSG00000180806	Homeobox	ENSP00000423861.1;ENSP00000302836.4;	
ZNF22	ENSG00000165512	zf-C2H2	ENSP00000298299.3;	
NR1D2	ENSG00000174738	THR-like	ENSP00000373283.3;ENSP00000310006.3;	9975
ZNF865	ENSG00000261221	zf-C2H2	ENSP00000457715.1;	100507290
ZNF416	ENSG00000083817	zf-C2H2	ENSP00000196489.2;	55659
USF2	ENSG00000105698	bHLH	ENSP00000222305.2;ENSP00000469364.2;ENSP00000471099.1;ENSP00000368429.3;ENSP00000471775.1;ENSP00000470081.1;ENSP00000471511.1;ENSP00000340633.4;	7392
ALX4	ENSG00000052850	Homeobox	ENSP00000498217.1;	60529
CTCFL	ENSG00000124092	zf-C2H2	ENSP00000477488.1;ENSP00000476398.1;ENSP00000437999.1;ENSP00000403369.2;ENSP00000392034.3;ENSP00000243914.3;ENSP00000476718.1;ENSP00000415329.2;ENSP00000476577.1;ENSP00000477412.1;ENSP00000439998.1;ENSP00000399061.2;ENSP00000415579.2;ENSP00000476783.1;ENSP00000477165.1;ENSP00000413713.2;ENSP00000409344.2;ENSP00000360239.2;ENSP00000476458.1;	
LBX2	ENSG00000179528	Homeobox	ENSP00000417116.2;ENSP00000366789.4;	85474
ZIC5	ENSG00000139800	zf-C2H2	ENSP00000267294.4;	85416
ZNF780A	ENSG00000197782	zf-C2H2	ENSP00000506741.1;ENSP00000469786.1;ENSP00000341507.5;ENSP00000387705.3;ENSP00000400997.1;ENSP00000472189.1;	284323
HOXA7	ENSG00000122592	Homeobox	ENSP00000242159.3;	
ZNF579	ENSG00000218891	zf-C2H2	ENSP00000320188.3;	163033
SMARCC2	ENSG00000139613	MYB	ENSP00000302919.4;ENSP00000267064.4;ENSP00000377591.3;ENSP00000449396.1;	6601
