trait_code	trait_abbr	trait	ICD10	type	meta_id	mesh_term	mesh_id	category	sample_size	n_case	n_control	popu	pmid	cohort	author	url	index
FinnGen_AB1_MALARIA_11	AB1_MALARIA	Malaria						I Certain infectious and parasitic diseases (AB1_)	453088.0	150.0	452938.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_MALARIA.FINEMAP.snp.bgz	11
FinnGen_AB1_MEASLES_12	AB1_MEASLES	Measles						I Certain infectious and parasitic diseases (AB1_)	436267.0	395.0	435872.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_MEASLES.FINEMAP.snp.bgz	12
FinnGen_AB1_MYCOSES_13	AB1_MYCOSES	Mycoses						I Certain infectious and parasitic diseases (AB1_)	453733.0	10124.0	443609.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_MYCOSES.FINEMAP.snp.bgz	13
FinnGen_AB1_OTHER_BACTERIAL_14	AB1_OTHER_BACTERIAL	Other bacterial diseases						I Certain infectious and parasitic diseases (AB1_)	453733.0	54584.0	399149.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_BACTERIAL.FINEMAP.snp.bgz	14
FinnGen_AB1_OTHER_INFECTIONS_15	AB1_OTHER_INFECTIONS	Other infectious diseases						I Certain infectious and parasitic diseases (AB1_)	453733.0	2745.0	450988.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_INFECTIONS.FINEMAP.snp.bgz	15
FinnGen_AB1_OTHER_MYCOBAC_16	AB1_OTHER_MYCOBAC	Infection due to other mycobacteria						I Certain infectious and parasitic diseases (AB1_)	399616.0	467.0	399149.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_MYCOBAC.FINEMAP.snp.bgz	16
FinnGen_AB1_OTHER_SPIROCHAETAL_17	AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases						I Certain infectious and parasitic diseases (AB1_)	453733.0	2810.0	450923.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_SPIROCHAETAL.FINEMAP.snp.bgz	17
FinnGen_AB1_OTHER_VIRAL_18	AB1_OTHER_VIRAL	Other viral diseases						I Certain infectious and parasitic diseases (AB1_)	453733.0	12694.0	441039.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_VIRAL.FINEMAP.snp.bgz	18
FinnGen_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST_19	AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations						I Certain infectious and parasitic diseases (AB1_)	453733.0	1964.0	451769.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.FINEMAP.snp.bgz	19
FinnGen_AB1_SCABIES_20	AB1_SCABIES	Scabies						I Certain infectious and parasitic diseases (AB1_)	453231.0	1462.0	451769.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SCABIES.FINEMAP.snp.bgz	20
FinnGen_AB1_SEQULAE_INF_NOS_21	AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases						I Certain infectious and parasitic diseases (AB1_)	452835.0	2002.0	450833.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEQULAE_INF_NOS.FINEMAP.snp.bgz	21
FinnGen_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES_22	AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases						I Certain infectious and parasitic diseases (AB1_)	453733.0	2900.0	450833.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.FINEMAP.snp.bgz	22
FinnGen_AB1_SEXUAL_TRANSMISSION_23	AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission						I Certain infectious and parasitic diseases (AB1_)	453733.0	13366.0	440367.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEXUAL_TRANSMISSION.FINEMAP.snp.bgz	23
FinnGen_AB1_TULARAEMIA_24	AB1_TULARAEMIA	Tularaemia						I Certain infectious and parasitic diseases (AB1_)	453554.0	391.0	453163.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_TULARAEMIA.FINEMAP.snp.bgz	24
FinnGen_AB1_VIRAL_INOTHER_25	AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters						I Certain infectious and parasitic diseases (AB1_)	451207.0	645.0	450562.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_VIRAL_INOTHER.FINEMAP.snp.bgz	25
FinnGen_AB1_VIRAL_OTHER_INTEST_INFECTIONS_26	AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections						I Certain infectious and parasitic diseases (AB1_)	413232.0	9801.0	403431.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_VIRAL_OTHER_INTEST_INFECTIONS.FINEMAP.snp.bgz	26
FinnGen_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE_27	AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions						I Certain infectious and parasitic diseases (AB1_)	453733.0	17861.0	435872.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.FINEMAP.snp.bgz	27
FinnGen_AB1_WHOOPCOUGH_28	AB1_WHOOPCOUGH	Whooping cough						I Certain infectious and parasitic diseases (AB1_)	399348.0	199.0	399149.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_WHOOPCOUGH.FINEMAP.snp.bgz	28
FinnGen_ABDOM_HERNIA_29	ABDOM_HERNIA	Hernia of abdominal wall						XI Diseases of the digestive system (K11_)	453733.0	18835.0	434898.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ABDOM_HERNIA.FINEMAP.snp.bgz	29
FinnGen_ABDOM_HERNIA_POSTOP_30	ABDOM_HERNIA_POSTOP	Hernia of abdominal wall, postoperative						XI Diseases of the digestive system (K11_)	262434.0	7161.0	255273.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ABDOM_HERNIA_POSTOP.FINEMAP.snp.bgz	30
FinnGen_AD_AM_EXMORE_31	AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed) (more control exclusions)						Neurological endpoints	202205.0	2700.0	199505.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_AM_EXMORE.FINEMAP.snp.bgz	31
FinnGen_AD_EO_EXMORE_32	AD_EO_EXMORE	Alzheimer’s disease (Early onset) (more control exclusions)						Neurological endpoints	201078.0	1573.0	199505.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_EO_EXMORE.FINEMAP.snp.bgz	32
FinnGen_AD_LO_EXMORE_33	AD_LO_EXMORE	Alzheimer’s disease (Late onset) (more control exclusions)						Neurological endpoints	207746.0	8241.0	199505.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_LO_EXMORE.FINEMAP.snp.bgz	33
FinnGen_AD_U_EXMORE_34	AD_U_EXMORE	Alzheimer’s disease (undefined) (more control exclusions)						Neurological endpoints	199960.0	455.0	199505.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_U_EXMORE.FINEMAP.snp.bgz	34
FinnGen_ALCOHOLACUTE10_35	ALCOHOLACUTE10	Acute alcohol intoxication						Alcohol related diseases	452335.0	7829.0	444506.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCOHOLACUTE10.FINEMAP.snp.bgz	35
FinnGen_ALCOPANCACU_36	ALCOPANCACU	Alcohol-induced acute pancreatitis						Alcohol related diseases	453733.0	1144.0	452589.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCOPANCACU.FINEMAP.snp.bgz	36
FinnGen_ALCOPANCCHRON_37	ALCOPANCCHRON	Alcohol-induced chronic pancreatitis						Alcohol related diseases	453733.0	2158.0	451575.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCOPANCCHRON.FINEMAP.snp.bgz	37
FinnGen_ALCO_PRESCRIPTION_38	ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone						Alcohol related diseases	453733.0	3169.0	450564.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCO_PRESCRIPTION.FINEMAP.snp.bgz	38
FinnGen_ALLERG_ASTHMA_39	ALLERG_ASTHMA	Allergic asthma (mode)						Asthma and related endpoints	260128.0	11867.0	248261.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALLERG_ASTHMA.FINEMAP.snp.bgz	39
FinnGen_ALLERG_RHINITIS_40	ALLERG_RHINITIS	Allergic rhinitis						Comorbidities of Asthma	444773.0	13846.0	430927.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALLERG_RHINITIS.FINEMAP.snp.bgz	40
FinnGen_AMN2_41	AMN2	Transient global amnesia						Neurological endpoints	432462.0	2940.0	429522.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AMN2.FINEMAP.snp.bgz	41
FinnGen_ANOSMIA_42	ANOSMIA	Anosmia						Comorbidities of Neurological endpoints	105543.0	901.0	104642.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ANOSMIA.FINEMAP.snp.bgz	42
FinnGen_ANTIDEPRESSANTS_43	ANTIDEPRESSANTS	Depression medications						Comorbidities of Neurological endpoints	235818.0	131176.0	104642.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ANTIDEPRESSANTS.FINEMAP.snp.bgz	43
FinnGen_APPENDACUT_COMPLIC_44	APPENDACUT_COMPLIC	Acute appendicitis, with complications						XI Diseases of the digestive system (K11_)	423949.0	8104.0	415845.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_APPENDACUT_COMPLIC.FINEMAP.snp.bgz	44
FinnGen_APPENDACUT_NOCOMPLIC_45	APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications						XI Diseases of the digestive system (K11_)	442921.0	27076.0	415845.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_APPENDACUT_NOCOMPLIC.FINEMAP.snp.bgz	45
FinnGen_ARTRHO_POSTDYSENTERIC_46	ARTRHO_POSTDYSENTERIC	Postdysenteric arthropathy						Rheuma endpoints	451429.0	311.0	451118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ARTRHO_POSTDYSENTERIC.FINEMAP.snp.bgz	46
FinnGen_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS_47	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections						Asthma and related endpoints	421569.0	19980.0	401589.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.FINEMAP.snp.bgz	47
FinnGen_ASTHMA_ALLERG_48	ASTHMA_ALLERG	Asthma and allergy						Asthma and related endpoints	251678.0	6014.0	245664.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_ALLERG.FINEMAP.snp.bgz	48
FinnGen_ASTHMA_CHILD_EXMORE_49	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)						Asthma and related endpoints	246459.0	7537.0	238922.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_CHILD_EXMORE.FINEMAP.snp.bgz	49
FinnGen_ASTHMA_EOSINOPHIL_SUGG_50	ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma						Comorbidities of Asthma	404693.0	3104.0	401589.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_EOSINOPHIL_SUGG.FINEMAP.snp.bgz	50
FinnGen_ASTHMA_INFECTIONS_51	ASTHMA_INFECTIONS	Asthma-related infections						Asthma and related endpoints	428831.0	27242.0	401589.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_INFECTIONS.FINEMAP.snp.bgz	51
FinnGen_ASTHMA_NAS_52	ASTHMA_NAS	Asthma, unspecified (mode)						Asthma and related endpoints	275273.0	27012.0	248261.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_NAS.FINEMAP.snp.bgz	52
FinnGen_ASTHMA_OBESITY_53	ASTHMA_OBESITY	Obesity related asthma						Comorbidities of Asthma	414748.0	13159.0	401589.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_OBESITY.FINEMAP.snp.bgz	53
FinnGen_ASTHMA_OPPORTUNIST_INFECTIONS_54	ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunity respiratory infection						Asthma and related endpoints	402987.0	1398.0	401589.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_OPPORTUNIST_INFECTIONS.FINEMAP.snp.bgz	54
FinnGen_ASTHMA_PNEUMONIA_55	ASTHMA_PNEUMONIA	Asthma-related pneumonia						Asthma and related endpoints	416352.0	14763.0	401589.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_PNEUMONIA.FINEMAP.snp.bgz	55
FinnGen_AUD_56	AUD	Alcohol use disorder, ICD-based						V Mental and behavioural disorders (F5_)	453733.0	18695.0	435038.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUD.FINEMAP.snp.bgz	56
FinnGen_AUD_SWEDISH_57	AUD_SWEDISH	Alcohol use disorder, Swedish definition						Alcohol related diseases	453733.0	26149.0	427584.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUD_SWEDISH.FINEMAP.snp.bgz	57
FinnGen_AUTOIMMUNE_58	AUTOIMMUNE	Autoimmune diseases						Diseases marked as autimmune origin	453733.0	115447.0	338286.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE.FINEMAP.snp.bgz	58
FinnGen_AUTOIMMUNE_HYPERTHYROIDISM_59	AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism						IV Endocrine, nutritional and metabolic diseases (E4_)	338977.0	2190.0	336787.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_HYPERTHYROIDISM.FINEMAP.snp.bgz	59
FinnGen_AUTOIMMUNE_NONTHYROID_60	AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases						Diseases marked as autimmune origin	401214.0	63967.0	337247.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID.FINEMAP.snp.bgz	60
FinnGen_AUTOIMMUNE_NONTHYROID_STRICT_61	AUTOIMMUNE_NONTHYROID_STRICT	Autoimmune diseases excluding thyroid diseases, strict definition						Diseases marked as autimmune origin	394263.0	62294.0	331969.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID_STRICT.FINEMAP.snp.bgz	61
FinnGen_BLEEDING_62	BLEEDING	Bleeding						Miscellaneous, not yet classified endpoints	453733.0	43764.0	409969.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_BLEEDING.FINEMAP.snp.bgz	62
FinnGen_BRONCHITIS_63	BRONCHITIS	Bronchitis						Asthma and related endpoints	453733.0	69104.0	384629.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_BRONCHITIS.FINEMAP.snp.bgz	63
FinnGen_C3_ASTROCYTOMA_EXALLC_64	C3_ASTROCYTOMA_EXALLC	Brain astrocytoma (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	345248.0	130.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_ASTROCYTOMA_EXALLC.FINEMAP.snp.bgz	64
FinnGen_C3_BASAL_CELL_CARCINOMA_EXALLC_65	C3_BASAL_CELL_CARCINOMA_EXALLC	Basal cell carcinoma (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	368542.0	23424.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BASAL_CELL_CARCINOMA_EXALLC.FINEMAP.snp.bgz	65
FinnGen_C3_BILIARY_GALLBLADDER_EXALLC_66	C3_BILIARY_GALLBLADDER_EXALLC	Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	346582.0	1464.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BILIARY_GALLBLADDER_EXALLC.FINEMAP.snp.bgz	66
FinnGen_C3_BLADDER_EXALLC_67	C3_BLADDER_EXALLC	Malignant neoplasm of bladder (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	347692.0	2574.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BLADDER_EXALLC.FINEMAP.snp.bgz	67
FinnGen_C3_BRAIN_EXALLC_68	C3_BRAIN_EXALLC	Malignant neoplasm of brain (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	346188.0	1070.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BRAIN_EXALLC.FINEMAP.snp.bgz	68
FinnGen_C3_BREAST_ERNEG_EXALLC_69	C3_BREAST_ERNEG_EXALLC	Malignant neoplasm of breast, HER-negative (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	209695.0	8469.0	201226.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_ERNEG_EXALLC.FINEMAP.snp.bgz	69
FinnGen_C3_BREAST_ERPLUS_EXALLC_70	C3_BREAST_ERPLUS_EXALLC	Malignant neoplasm of breast, HER-positive (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	213307.0	12081.0	201226.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_ERPLUS_EXALLC.FINEMAP.snp.bgz	70
FinnGen_C3_BREAST_EXALLC_71	C3_BREAST_EXALLC	Malignant neoplasm of breast (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	222080.0	20586.0	201494.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_EXALLC.FINEMAP.snp.bgz	71
FinnGen_C3_BRONCHUS_LUNG_EXALLC_72	C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	352615.0	7497.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BRONCHUS_LUNG_EXALLC.FINEMAP.snp.bgz	72
FinnGen_C3_CANCER_EXALLC_73	C3_CANCER_EXALLC	Malignant neoplasm (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	445308.0	100190.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_CANCER_EXALLC.FINEMAP.snp.bgz	73
FinnGen_C3_CLL_EXALLC_74	C3_CLL_EXALLC	Chronic lymphocytic leukaemia (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	345961.0	851.0	345110.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_CLL_EXALLC.FINEMAP.snp.bgz	74
FinnGen_C3_COLON_ADENO_EXALLC_75	C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (controls excluding all cancers)						II Neoplasms, from cancer register (ICD-O-3)	349265.0	4147.0	345118.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_COLON_ADENO_EXALLC.FINEMAP.snp.bgz	75
