trait	trait_abbr	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda	url
Cardiac arrhythmias	CARDIAC_ARRHYTM	Comorbidities of COPD	82200	74000.0	264612	102	93.0	1.1573	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CARDIAC_ARRHYTM.FINEMAP.snp.bgz
Major coronary heart disease event	I9_CHD	IX Diseases of the circulatory system (I9_)	51098	46959.0	402635	100	94.0	1.1767	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_CHD.FINEMAP.snp.bgz
Glaucoma	H7_GLAUCOMA	VII Diseases of the eye and adnexa (H7_)	23483	20906.0	430250	100	85.0	1.1346	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_GLAUCOMA.FINEMAP.snp.bgz
Hernia	K11_HERNIA	XI Diseases of the digestive system (K11_)	65892	59763.0	387841	96	79.0	1.1559	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_HERNIA.FINEMAP.snp.bgz
Angina pectoris	I9_ANGINA	IX Diseases of the circulatory system (I9_)	40366	36875.0	378019	96	80.0	1.1827	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_ANGINA.FINEMAP.snp.bgz
Inguinal hernia	K11_HERING	XI Diseases of the digestive system (K11_)	38606	35248.0	387841	95	82.0	1.1608	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_HERING.FINEMAP.snp.bgz
Chronic lower respiratory diseases	J10_LOWCHRON	X Diseases of the respiratory system (J10_)	81106	73878.0	372627	90	83.0	1.215	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_LOWCHRON.FINEMAP.snp.bgz
Atopic dermatitis	L12_ATOPIC	XII Diseases of the skin and subcutaneous tissue (L12_)	26905	15208.0	394476	89	75.0	1.1083	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_ATOPIC.FINEMAP.snp.bgz
Malignant neoplasm of breast (controls excluding all cancers)	C3_BREAST_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	20586	18786.0	201494	89	72.0	1.1244	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_EXALLC.FINEMAP.snp.bgz
Chronic diseases of tonsils and adenoids	J10_CHRONTONSADEN	X Diseases of the respiratory system (J10_)	53926	48057.0	337881	85	71.0	1.1864	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_CHRONTONSADEN.FINEMAP.snp.bgz
IBD patients in KELA-register	K11_KELAIBD	XI Diseases of the digestive system (K11_)	9759	9083.0	432380	84	75.0	1.1094	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_KELAIBD.FINEMAP.snp.bgz
Diverticular disease of intestine	K11_DIVERTIC	XI Diseases of the digestive system (K11_)	37886	33619.0	360393	84	65.0	1.1932	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_DIVERTIC.FINEMAP.snp.bgz
Inflammatory bowel disease, strict (require KELA)	K11_IBD_STRICT	XI Diseases of the digestive system (K11_)	9759	9083.0	443974	82	73.0	1.1089	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_IBD_STRICT.FINEMAP.snp.bgz
Venous thromboembolism	I9_VTE	IX Diseases of the circulatory system (I9_)	23367	21021.0	430366	82	67.0	1.0924	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_VTE.FINEMAP.snp.bgz
Coronary artery bypass grafting	I9_CABG	IX Diseases of the circulatory system (I9_)	12461	11582.0	378019	81	80.0	1.1632	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_CABG.FINEMAP.snp.bgz
Autoimmune diseases excluding thyroid diseases, strict definition	AUTOIMMUNE_NONTHYROID_STRICT	Diseases marked as autimmune origin	62294	56628.0	331969	81	67.0	1.1104	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID_STRICT.FINEMAP.snp.bgz
Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	Diseases marked as autimmune origin	63967	58156.0	337247	81	73.0	1.1129	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID.FINEMAP.snp.bgz
Disorders of lipoprotein metabolism and other lipidaemias	E4_LIPOPROT	IV Endocrine, nutritional and metabolic diseases (E4_)	50955	43197.0	384093	80	55.0	1.1427	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_LIPOPROT.FINEMAP.snp.bgz
Malignant neoplasm (controls excluding all cancers)	C3_CANCER_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	100190	87531.0	345118	75	70.0	1.1184	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_CANCER_EXALLC.FINEMAP.snp.bgz
Gonarthrosis, primary, with knee surgery	M13_ARTHROSIS_KNEE_PRIM_KNEESURG	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	23441	21059.0	404897	74	63.0	1.1923	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHROSIS_KNEE_PRIM_KNEESURG.FINEMAP.snp.bgz
Asthma (more control exclusions)	J10_ASTHMA_EXMORE	X Diseases of the respiratory system (J10_)	52144	46684.0	238922	74	68.0	1.2007	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_ASTHMA_EXMORE.FINEMAP.snp.bgz
Coxarthrosis	M13_ARTHTROSIS_COX	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	27146	24255.0	287796	73	59.0	1.1779	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHTROSIS_COX.FINEMAP.snp.bgz
Asthma (only as main-diagnosis) (more control exclusions)	J10_ASTHMA_MAIN_EXMORE	X Diseases of the respiratory system (J10_)	41837	37760.0	238922	70	59.0	1.1837	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_ASTHMA_MAIN_EXMORE.FINEMAP.snp.bgz
Hard cardiovascular diseases	I9_CVD_HARD	Cardiometabolic endpoints	72410	66182.0	381323	69	61.0	1.155	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_CVD_HARD.FINEMAP.snp.bgz
Nontoxic goitre/thyroid nodule	E4_NONTOXIC_THYROID	IV Endocrine, nutritional and metabolic diseases (E4_)	11446	10312.0	442287	69	62.0	1.089	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_NONTOXIC_THYROID.FINEMAP.snp.bgz
Primary open-angle glaucoma, strict	H7_GLAUCOMA_POAG	VII Diseases of the eye and adnexa (H7_)	9565	8530.0	430250	68	61.0	1.1073	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_GLAUCOMA_POAG.FINEMAP.snp.bgz
Other heart diseases	FG_OTHHEART	Cardiometabolic endpoints	94162	85166.0	231952	66	62.0	1.1297	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_FG_OTHHEART.FINEMAP.snp.bgz
Heart failure and antihypertensive medication	I9_HEARTFAIL_AND_ANTIHYPERT	Cardiometabolic endpoints	31527	28161.0	213338	65	44.0	1.1701	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_HEARTFAIL_AND_ANTIHYPERT.FINEMAP.snp.bgz
Obesity	E4_OBESITY	IV Endocrine, nutritional and metabolic diseases (E4_)	27711	23971.0	425881	65	57.0	1.2064	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_OBESITY.FINEMAP.snp.bgz
Dermatitis and eczema	L12_DERMATITISECZEMA	XII Diseases of the skin and subcutaneous tissue (L12_)	59257	45135.0	394476	64	53.0	1.1108	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_DERMATITISECZEMA.FINEMAP.snp.bgz
Cholecystectomy	K11_CHOLECYSTECTOMY	XI Diseases of the digestive system (K11_)	32536	29157.0	421197	64	52.0	1.1215	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_CHOLECYSTECTOMY.FINEMAP.snp.bgz
Hyperplasia of prostate	N14_PROSTHYPERPLA	XIV Diseases of the genitourinary system (N14_)	36601	32956.0	141300	63	58.0	1.1347	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_PROSTHYPERPLA.FINEMAP.snp.bgz
Hallux valgus (acquired)	M13_HALLUXVALGUS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	17421	15886.0	287796	63	52.0	1.1681	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_HALLUXVALGUS.FINEMAP.snp.bgz
Coxarthrosis, primary, with hip surgery	M13_ARTHTROSIS_COX_PRIM_HIPSURG	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	18094	16322.0	429338	63	47.0	1.1496	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHTROSIS_COX_PRIM_HIPSURG.FINEMAP.snp.bgz
Myocardial infarction, strict	I9_MI_STRICT	IX Diseases of the circulatory system (I9_)	28546	26060.0	378019	63	56.0	1.1577	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_MI_STRICT.FINEMAP.snp.bgz
First line medication for Crohn's disease	RX_CROHN_1STLINE	Drug purchase endpoints	93616	87509.0	360117	62	45.0	1.1422	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RX_CROHN_1STLINE.FINEMAP.snp.bgz
Depression or dysthymia	F5_DEPRESSION_DYSTHYMIA	V Mental and behavioural disorders (F5_)	63608	54733.0	236510	62	39.0	1.2291	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_DEPRESSION_DYSTHYMIA.FINEMAP.snp.bgz
Pure hypercholesterolaemia	E4_HYPERCHOL	IV Endocrine, nutritional and metabolic diseases (E4_)	36338	30214.0	384093	62	52.0	1.1144	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERCHOL.FINEMAP.snp.bgz
Nontoxic multinodular goitre	E4_GOITREMULTINOD	IV Endocrine, nutritional and metabolic diseases (E4_)	7423	6699.0	385630	61	54.0	1.0763	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_GOITREMULTINOD.FINEMAP.snp.bgz
Malignant neoplasm of breast, HER-positive (controls excluding all cancers)	C3_BREAST_ERPLUS_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	12081	10404.0	201226	61	51.0	1.0952	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_ERPLUS_EXALLC.FINEMAP.snp.bgz
Carpal tunnel syndrome	G6_CARPTU	VI Diseases of the nervous system (G6_)	27716	24766.0	395832	60	45.0	1.1841	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_G6_CARPTU.FINEMAP.snp.bgz
Depression medications	ANTIDEPRESSANTS	Comorbidities of Neurological endpoints	131176	120446.0	104642	59	55.0	1.2262	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ANTIDEPRESSANTS.FINEMAP.snp.bgz
Primary gonarthrosis, bilateral	PRIM_KNEEARTHROSIS	Rheuma endpoints	20783	18563.0	399163	58	50.0	1.1672	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PRIM_KNEEARTHROSIS.FINEMAP.snp.bgz
Pain (limb, back, neck, head abdominally)	PAIN	Miscellaneous, not yet classified endpoints	212869	189683.0	239973	57	47.0	1.2365	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PAIN.FINEMAP.snp.bgz
Other diseases of upper respiratory tract	J10_UPPERDIS	X Diseases of the respiratory system (J10_)	115852	103724.0	337881	57	40.0	1.1742	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_UPPERDIS.FINEMAP.snp.bgz
Dorsopathies	M13_DORSOPATHY	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	131419	117411.0	322314	56	44.0	1.2296	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_DORSOPATHY.FINEMAP.snp.bgz
Coronary angioplasty	I9_ANGIO	IX Diseases of the circulatory system (I9_)	16749	15779.0	378019	55	47.0	1.135	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_ANGIO.FINEMAP.snp.bgz
Metabolic disorders	E4_METABOLIA	IV Endocrine, nutritional and metabolic diseases (E4_)	69640	59949.0	384093	54	46.0	1.1151	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_METABOLIA.FINEMAP.snp.bgz
KELA_REIMBURSEMENT_202	K11_REIMB_202	Gastrointestinal endpoints	26134	24410.0	427599	53	46.0	1.1003	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_REIMB_202.FINEMAP.snp.bgz
Myotonic disorders	G6_MYOTDIS	VI Diseases of the nervous system (G6_)	247	220.0	449570	53	49.0	0.708	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_G6_MYOTDIS.FINEMAP.snp.bgz
Second line medication for Crohn's disease	RX_CROHN_2NDLINE	Drug purchase endpoints	24774	23314.0	428959	52	47.0	1.0831	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RX_CROHN_2NDLINE.FINEMAP.snp.bgz
Other intervertebral disc disorders	M13_INTERVERTEB	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	46205	41669.0	322314	52	43.0	1.198	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_INTERVERTEB.FINEMAP.snp.bgz
Ulcerative colitis (strict definition, require KELA, min 2 HDR)	K11_UC_STRICT2	XI Diseases of the digestive system (K11_)	6435	5931.0	446419	52	45.0	1.0875	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_UC_STRICT2.FINEMAP.snp.bgz
Migraine, single triptan purchase ok & required. ICD-code if available is included	MIGRAINE_TRIPTAN	Neurological endpoints	49076	44616.0	404657	51	40.0	1.1778	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_MIGRAINE_TRIPTAN.FINEMAP.snp.bgz
Coxarthrosis, primary	M13_ARTHTROSIS_COX_PRIM_ICD10	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	24395	21837.0	429338	51	43.0	1.1457	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHTROSIS_COX_PRIM_ICD10.FINEMAP.snp.bgz
Hypertrophic cardiomyopathy	I9_HYPERTROCARDMYOP	IX Diseases of the circulatory system (I9_)	1245	1125.0	452488	51	51.0	1.0105	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_HYPERTROCARDMYOP.FINEMAP.snp.bgz
Hereditary retinal dystrophy	H7_HEREDRETINADYST	VII Diseases of the eye and adnexa (H7_)	460	409.0	413784	51	45.0	0.87316	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_HEREDRETINADYST.FINEMAP.snp.bgz
Arthropathies	M13_ARTHROPATHIES	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	165937	149337.0	287796	50	35.0	1.2283	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHROPATHIES.FINEMAP.snp.bgz
Other disorders of veins	I9_VEINSOTH	IX Diseases of the circulatory system (I9_)	15929	13925.0	392860	49	45.0	1.1303	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_VEINSOTH.FINEMAP.snp.bgz
Muscular dystrophy	G6_MUSDYST	VI Diseases of the nervous system (G6_)	242	221.0	449570	49	46.0	0.72368	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_G6_MUSDYST.FINEMAP.snp.bgz
Palmar fascial fibromatosis [Dupuytren]	M13_DUPUTRYEN	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	6078	5542.0	326530	48	43.0	1.0855	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_DUPUTRYEN.FINEMAP.snp.bgz
DVT of lower extremities	I9_PHLETHROMBDVTLOW	IX Diseases of the circulatory system (I9_)	7216	6501.0	392860	48	39.0	1.0622	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_PHLETHROMBDVTLOW.FINEMAP.snp.bgz
Senile cataract	H7_CATARACTSENILE	VII Diseases of the eye and adnexa (H7_)	73410	65235.0	374263	47	50.0	1.1131	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_CATARACTSENILE.FINEMAP.snp.bgz
Mucosal proctocolitis	MUCOPROCT	Gastrointestinal endpoints	4976	4530.0	432380	46	36.0	1.0766	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_MUCOPROCT.FINEMAP.snp.bgz
Papulosquamous disorders	L12_PAPULOSQUAMOUS	XII Diseases of the skin and subcutaneous tissue (L12_)	16313	14617.0	437420	46	40.0	1.0789	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_PAPULOSQUAMOUS.FINEMAP.snp.bgz
Any mental disorder	KRA_PSY_ANYMENTAL	Psychiatric endpoints from Katri Räikkönen	123273	110302.0	330460	46	37.0	1.2026	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_KRA_PSY_ANYMENTAL.FINEMAP.snp.bgz
Noninfective enteritis and colitis	K11_ENERCOLNONINF	XI Diseases of the digestive system (K11_)	21353	19207.0	432380	46	44.0	1.0853	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_ENERCOLNONINF.FINEMAP.snp.bgz
Other/unspecified seropositive rheumatoid arthritis	RHEUMA_SEROPOS_OTH	Rheuma endpoints	10688	9867.0	442914	45	42.0	1.0824	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RHEUMA_SEROPOS_OTH.FINEMAP.snp.bgz
