trait_abbr	trait_code	index	trait	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda	url
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	FinnGen_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE_27	27	Viral infections characterized by skin and mucous membrane lesions	I Certain infectious and parasitic diseases (AB1_)	17861	15803.0	435872	3	3.0	1.0245	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.FINEMAP.snp.bgz
AB1_WHOOPCOUGH	FinnGen_AB1_WHOOPCOUGH_28	28	Whooping cough	I Certain infectious and parasitic diseases (AB1_)	199	169.0	399149	3	3.0	0.68351	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_WHOOPCOUGH.FINEMAP.snp.bgz
ABDOM_HERNIA	FinnGen_ABDOM_HERNIA_29	29	Hernia of abdominal wall	XI Diseases of the digestive system (K11_)	18835	16839.0	434898	37	28.0	1.1032	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ABDOM_HERNIA.FINEMAP.snp.bgz
ABDOM_HERNIA_POSTOP	FinnGen_ABDOM_HERNIA_POSTOP_30	30	Hernia of abdominal wall, postoperative	XI Diseases of the digestive system (K11_)	7161	6336.0	255273	6	5.0	1.0703	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ABDOM_HERNIA_POSTOP.FINEMAP.snp.bgz
AD_AM_EXMORE	FinnGen_AD_AM_EXMORE_31	31	Alzheimer’s disease (Atypical or mixed) (more control exclusions)	Neurological endpoints	2700	2419.0	199505	6	5.0	1.0885	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_AM_EXMORE.FINEMAP.snp.bgz
AD_EO_EXMORE	FinnGen_AD_EO_EXMORE_32	32	Alzheimer’s disease (Early onset) (more control exclusions)	Neurological endpoints	1573	1451.0	199505	6	5.0	1.0301	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_EO_EXMORE.FINEMAP.snp.bgz
AD_LO_EXMORE	FinnGen_AD_LO_EXMORE_33	33	Alzheimer’s disease (Late onset) (more control exclusions)	Neurological endpoints	8241	7308.0	199505	23	15.0	1.1031	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_LO_EXMORE.FINEMAP.snp.bgz
AD_U_EXMORE	FinnGen_AD_U_EXMORE_34	34	Alzheimer’s disease (undefined) (more control exclusions)	Neurological endpoints	455	437.0	199505	1	2.0	0.88046	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_U_EXMORE.FINEMAP.snp.bgz
ALCOHOLACUTE10	FinnGen_ALCOHOLACUTE10_35	35	Acute alcohol intoxication	Alcohol related diseases	7829	7000.0	444506	1	1.0	1.0637	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCOHOLACUTE10.FINEMAP.snp.bgz
ALCOPANCACU	FinnGen_ALCOPANCACU_36	36	Alcohol-induced acute pancreatitis	Alcohol related diseases	1144	1021.0	452589	5	4.0	1.0022	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCOPANCACU.FINEMAP.snp.bgz
ALCOPANCCHRON	FinnGen_ALCOPANCCHRON_37	37	Alcohol-induced chronic pancreatitis	Alcohol related diseases	2158	1959.0	451575	10	9.0	1.0383	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCOPANCCHRON.FINEMAP.snp.bgz
ALCO_PRESCRIPTION	FinnGen_ALCO_PRESCRIPTION_38	38	Use of disulfiram, acamprosate or naltrexone	Alcohol related diseases	3169	2999.0	450564	1	1.0	1.0461	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCO_PRESCRIPTION.FINEMAP.snp.bgz
ALLERG_ASTHMA	FinnGen_ALLERG_ASTHMA_39	39	Allergic asthma (mode)	Asthma and related endpoints	11867	10723.0	248261	35	27.0	1.1067	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALLERG_ASTHMA.FINEMAP.snp.bgz
ALLERG_RHINITIS	FinnGen_ALLERG_RHINITIS_40	40	Allergic rhinitis	Comorbidities of Asthma	13846	12240.0	430927	17	14.0	1.0769	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALLERG_RHINITIS.FINEMAP.snp.bgz
AMN2	FinnGen_AMN2_41	41	Transient global amnesia	Neurological endpoints	2940	2652.0	429522	5	5.0	1.0503	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AMN2.FINEMAP.snp.bgz
ANOSMIA	FinnGen_ANOSMIA_42	42	Anosmia	Comorbidities of Neurological endpoints	901	801.0	104642	1	1.0	0.99002	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ANOSMIA.FINEMAP.snp.bgz
ANTIDEPRESSANTS	FinnGen_ANTIDEPRESSANTS_43	43	Depression medications	Comorbidities of Neurological endpoints	131176	120446.0	104642	59	55.0	1.2262	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ANTIDEPRESSANTS.FINEMAP.snp.bgz
APPENDACUT_COMPLIC	FinnGen_APPENDACUT_COMPLIC_44	44	Acute appendicitis, with complications	XI Diseases of the digestive system (K11_)	8104	7358.0	415845	5	4.0	1.0336	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_APPENDACUT_COMPLIC.FINEMAP.snp.bgz
APPENDACUT_NOCOMPLIC	FinnGen_APPENDACUT_NOCOMPLIC_45	45	Acute appendicitis, no complications	XI Diseases of the digestive system (K11_)	27076	24270.0	415845	9	9.0	1.08	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_APPENDACUT_NOCOMPLIC.FINEMAP.snp.bgz
ARTRHO_POSTDYSENTERIC	FinnGen_ARTRHO_POSTDYSENTERIC_46	46	Postdysenteric arthropathy	Rheuma endpoints	311	277.0	451118	3	2.0	0.78069	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ARTRHO_POSTDYSENTERIC.FINEMAP.snp.bgz
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	FinnGen_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS_47	47	Asthma-related acute respiratory infections	Asthma and related endpoints	19980	17810.0	401589	26	20.0	1.1129	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.FINEMAP.snp.bgz
ASTHMA_ALLERG	FinnGen_ASTHMA_ALLERG_48	48	Asthma and allergy	Asthma and related endpoints	6014	5206.0	245664	18	18.0	1.0862	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_ALLERG.FINEMAP.snp.bgz
ASTHMA_CHILD_EXMORE	FinnGen_ASTHMA_CHILD_EXMORE_49	49	Childhood asthma (age<16) (more control exclusions)	Asthma and related endpoints	7537	6603.0	238922	29	26.0	1.1129	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_CHILD_EXMORE.FINEMAP.snp.bgz
ASTHMA_EOSINOPHIL_SUGG	FinnGen_ASTHMA_EOSINOPHIL_SUGG_50	50	Suggestive for eosinophilic asthma	Comorbidities of Asthma	3104	2763.0	401589	23	25.0	1.0589	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_EOSINOPHIL_SUGG.FINEMAP.snp.bgz
ASTHMA_INFECTIONS	FinnGen_ASTHMA_INFECTIONS_51	51	Asthma-related infections	Asthma and related endpoints	27242	24276.0	401589	34	30.0	1.1338	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_INFECTIONS.FINEMAP.snp.bgz
ASTHMA_NAS	FinnGen_ASTHMA_NAS_52	52	Asthma, unspecified (mode)	Asthma and related endpoints	27012	23834.0	248261	27	21.0	1.127	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_NAS.FINEMAP.snp.bgz
ASTHMA_OBESITY	FinnGen_ASTHMA_OBESITY_53	53	Obesity related asthma	Comorbidities of Asthma	13159	11546.0	401589	12	10.0	1.1135	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_OBESITY.FINEMAP.snp.bgz
ASTHMA_OPPORTUNIST_INFECTIONS	FinnGen_ASTHMA_OPPORTUNIST_INFECTIONS_54	54	Asthma and opportunity respiratory infection	Asthma and related endpoints	1398	1268.0	401589	1	2.0	1.0078	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_OPPORTUNIST_INFECTIONS.FINEMAP.snp.bgz
ASTHMA_PNEUMONIA	FinnGen_ASTHMA_PNEUMONIA_55	55	Asthma-related pneumonia	Asthma and related endpoints	14763	13185.0	401589	13	11.0	1.0914	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ASTHMA_PNEUMONIA.FINEMAP.snp.bgz
AUD	FinnGen_AUD_56	56	Alcohol use disorder, ICD-based	V Mental and behavioural disorders (F5_)	18695	17197.0	435038	11	9.0	1.1404	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUD.FINEMAP.snp.bgz
AUD_SWEDISH	FinnGen_AUD_SWEDISH_57	57	Alcohol use disorder, Swedish definition	Alcohol related diseases	26149	24070.0	427584	15	10.0	1.1472	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUD_SWEDISH.FINEMAP.snp.bgz
AUTOIMMUNE	FinnGen_AUTOIMMUNE_58	58	Autoimmune diseases	Diseases marked as autimmune origin	115447	105677.0	338286	188	171.0	1.1898	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE.FINEMAP.snp.bgz
AUTOIMMUNE_HYPERTHYROIDISM	FinnGen_AUTOIMMUNE_HYPERTHYROIDISM_59	59	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	2190	1991.0	336787	28	15.0	1.0366	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_HYPERTHYROIDISM.FINEMAP.snp.bgz
AUTOIMMUNE_NONTHYROID	FinnGen_AUTOIMMUNE_NONTHYROID_60	60	Autoimmune diseases excluding thyroid diseases	Diseases marked as autimmune origin	63967	58156.0	337247	81	73.0	1.1129	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID.FINEMAP.snp.bgz
AUTOIMMUNE_NONTHYROID_STRICT	FinnGen_AUTOIMMUNE_NONTHYROID_STRICT_61	61	Autoimmune diseases excluding thyroid diseases, strict definition	Diseases marked as autimmune origin	62294	56628.0	331969	81	67.0	1.1104	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID_STRICT.FINEMAP.snp.bgz
BLEEDING	FinnGen_BLEEDING_62	62	Bleeding	Miscellaneous, not yet classified endpoints	43764	39231.0	409969	3	3.0	1.0599	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_BLEEDING.FINEMAP.snp.bgz
BRONCHITIS	FinnGen_BRONCHITIS_63	63	Bronchitis	Asthma and related endpoints	69104	61251.0	384629	3	3.0	1.0863	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_BRONCHITIS.FINEMAP.snp.bgz
C3_ASTROCYTOMA_EXALLC	FinnGen_C3_ASTROCYTOMA_EXALLC_64	64	Brain astrocytoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	130	88.0	345118	1	1.0	0.57315	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_ASTROCYTOMA_EXALLC.FINEMAP.snp.bgz
C3_BASAL_CELL_CARCINOMA_EXALLC	FinnGen_C3_BASAL_CELL_CARCINOMA_EXALLC_65	65	Basal cell carcinoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	23424	20506.0	345118	118	102.0	1.1319	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BASAL_CELL_CARCINOMA_EXALLC.FINEMAP.snp.bgz
C3_BILIARY_GALLBLADDER_EXALLC	FinnGen_C3_BILIARY_GALLBLADDER_EXALLC_66	66	Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1464	1207.0	345118	3	3.0	1.0095	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BILIARY_GALLBLADDER_EXALLC.FINEMAP.snp.bgz
C3_BLADDER_EXALLC	FinnGen_C3_BLADDER_EXALLC_67	67	Malignant neoplasm of bladder (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	2574	2193.0	345118	9	3.0	1.0429	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BLADDER_EXALLC.FINEMAP.snp.bgz
C3_BRAIN_EXALLC	FinnGen_C3_BRAIN_EXALLC_68	68	Malignant neoplasm of brain (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1070	816.0	345118	2	2.0	0.99388	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BRAIN_EXALLC.FINEMAP.snp.bgz
C3_BREAST_ERNEG_EXALLC	FinnGen_C3_BREAST_ERNEG_EXALLC_69	69	Malignant neoplasm of breast, HER-negative (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	8469	6188.0	201226	25	14.0	1.0691	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_ERNEG_EXALLC.FINEMAP.snp.bgz
C3_BREAST_ERPLUS_EXALLC	FinnGen_C3_BREAST_ERPLUS_EXALLC_70	70	Malignant neoplasm of breast, HER-positive (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	12081	10404.0	201226	61	51.0	1.0952	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_ERPLUS_EXALLC.FINEMAP.snp.bgz
C3_BREAST_EXALLC	FinnGen_C3_BREAST_EXALLC_71	71	Malignant neoplasm of breast (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	20586	18786.0	201494	89	72.0	1.1244	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_EXALLC.FINEMAP.snp.bgz
C3_BRONCHUS_LUNG_EXALLC	FinnGen_C3_BRONCHUS_LUNG_EXALLC_72	72	Malignant neoplasm of bronchus and lung (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	7497	6340.0	345118	10	11.0	1.0793	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BRONCHUS_LUNG_EXALLC.FINEMAP.snp.bgz
C3_CANCER_EXALLC	FinnGen_C3_CANCER_EXALLC_73	73	Malignant neoplasm (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	100190	87531.0	345118	75	70.0	1.1184	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_CANCER_EXALLC.FINEMAP.snp.bgz
C3_CLL_EXALLC	FinnGen_C3_CLL_EXALLC_74	74	Chronic lymphocytic leukaemia (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	851	668.0	345110	13	6.0	0.98679	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_CLL_EXALLC.FINEMAP.snp.bgz
C3_COLON_ADENO_EXALLC	FinnGen_C3_COLON_ADENO_EXALLC_75	75	Colon adenocarcinoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	4147	3212.0	345118	12	4.0	1.0437	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_COLON_ADENO_EXALLC.FINEMAP.snp.bgz
C3_COLON_EXALLC	FinnGen_C3_COLON_EXALLC_76	76	Malignant neoplasm of colon (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	5284	4143.0	345118	10	4.0	1.0485	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_COLON_EXALLC.FINEMAP.snp.bgz
C3_COLORECTAL_ADENO_EXALLC	FinnGen_C3_COLORECTAL_ADENO_EXALLC_77	77	Colorectal adenocarcinoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	7284	5610.0	345118	18	14.0	1.0719	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_COLORECTAL_ADENO_EXALLC.FINEMAP.snp.bgz
C3_COLORECTAL_EXALLC	FinnGen_C3_COLORECTAL_EXALLC_78	78	Colorectal cancer (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	8801	6847.0	345118	16	13.0	1.0713	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_COLORECTAL_EXALLC.FINEMAP.snp.bgz
C3_CORPUS_UTERI_EXALLC	FinnGen_C3_CORPUS_UTERI_EXALLC_79	79	Malignant neoplasm of corpus uteri (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	2677	2079.0	201494	1	0.0	1.0529	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_CORPUS_UTERI_EXALLC.FINEMAP.snp.bgz
C3_DLBCL_EXALLC	FinnGen_C3_DLBCL_EXALLC_80	80	Diffuse large B-cell lymphoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1373	1050.0	345118	4	2.0	1.017	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_DLBCL_EXALLC.FINEMAP.snp.bgz
C3_GBM_ASTROCYTOMA_EXALLC	FinnGen_C3_GBM_ASTROCYTOMA_EXALLC_81	81	Brain glioblastoma and astrocytoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	508	341.0	345118	2	0.0	0.89957	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_GBM_ASTROCYTOMA_EXALLC.FINEMAP.snp.bgz
