phenotype	phenocode	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda
Artrosis, including avohilmo	M13_ARTHROSIS_INCLAVO	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	120242	105552	333491	102	77	1.2437
Cardiac arrhythmias	CARDIAC_ARRHYTM	Comorbidities of COPD	82200	74000	264612	102	93	1.1573
Major coronary heart disease event	I9_CHD	IX Diseases of the circulatory system (I9_)	51098	46959	402635	100	94	1.1767
Glaucoma	H7_GLAUCOMA	VII Diseases of the eye and adnexa (H7_)	23483	20906	430250	100	85	1.1346
Hernia	K11_HERNIA	XI Diseases of the digestive system (K11_)	65892	59763	387841	96	79	1.1559
Angina pectoris	I9_ANGINA	IX Diseases of the circulatory system (I9_)	40366	36875	378019	96	80	1.1827
Inguinal hernia	K11_HERING	XI Diseases of the digestive system (K11_)	38606	35248	387841	95	82	1.1608
Chronic lower respiratory diseases	J10_LOWCHRON	X Diseases of the respiratory system (J10_)	81106	73878	372627	90	83	1.215
Atopic dermatitis	L12_ATOPIC	XII Diseases of the skin and subcutaneous tissue (L12_)	26905	15208	394476	89	75	1.1083
Malignant neoplasm of breast (controls excluding all cancers)	C3_BREAST_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	20586	18786	201494	89	72	1.1244
Chronic diseases of tonsils and adenoids	J10_CHRONTONSADEN	X Diseases of the respiratory system (J10_)	53926	48057	337881	85	71	1.1864
IBD patients in KELA-register	K11_KELAIBD	XI Diseases of the digestive system (K11_)	9759	9083	432380	84	75	1.1094
Diverticular disease of intestine	K11_DIVERTIC	XI Diseases of the digestive system (K11_)	37886	33619	360393	84	65	1.1932
Inflammatory bowel disease, strict (require KELA)	K11_IBD_STRICT	XI Diseases of the digestive system (K11_)	9759	9083	443974	82	73	1.1089
Venous thromboembolism	I9_VTE	IX Diseases of the circulatory system (I9_)	23367	21021	430366	82	67	1.0924
Coronary artery bypass grafting	I9_CABG	IX Diseases of the circulatory system (I9_)	12461	11582	378019	81	80	1.1632
Autoimmune diseases excluding thyroid diseases, strict definition	AUTOIMMUNE_NONTHYROID_STRICT	Diseases marked as autimmune origin	62294	56628	331969	81	67	1.1104
Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	Diseases marked as autimmune origin	63967	58156	337247	81	73	1.1129
Disorders of lipoprotein metabolism and other lipidaemias	E4_LIPOPROT	IV Endocrine, nutritional and metabolic diseases (E4_)	50955	43197	384093	80	55	1.1427
Malignant neoplasm (controls excluding all cancers)	C3_CANCER_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	100190	87531	345118	75	70	1.1184
Gonarthrosis, primary, with knee surgery	M13_ARTHROSIS_KNEE_PRIM_KNEESURG	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	23441	21059	404897	74	63	1.1923
Asthma (more control exclusions)	J10_ASTHMA_EXMORE	X Diseases of the respiratory system (J10_)	52144	46684	238922	74	68	1.2007
Coxarthrosis	M13_ARTHTROSIS_COX	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	27146	24255	287796	73	59	1.1779
Asthma (only as main-diagnosis) (more control exclusions)	J10_ASTHMA_MAIN_EXMORE	X Diseases of the respiratory system (J10_)	41837	37760	238922	70	59	1.1837
Hard cardiovascular diseases	I9_CVD_HARD	Cardiometabolic endpoints	72410	66182	381323	69	61	1.155
Nontoxic goitre/thyroid nodule	E4_NONTOXIC_THYROID	IV Endocrine, nutritional and metabolic diseases (E4_)	11446	10312	442287	69	62	1.089
Primary open-angle glaucoma, strict	H7_GLAUCOMA_POAG	VII Diseases of the eye and adnexa (H7_)	9565	8530	430250	68	61	1.1073
Other heart diseases	FG_OTHHEART	Cardiometabolic endpoints	94162	85166	231952	66	62	1.1297
Heart failure and antihypertensive medication	I9_HEARTFAIL_AND_ANTIHYPERT	Cardiometabolic endpoints	31527	28161	213338	65	44	1.1701
Obesity	E4_OBESITY	IV Endocrine, nutritional and metabolic diseases (E4_)	27711	23971	425881	65	57	1.2064
Dermatitis and eczema	L12_DERMATITISECZEMA	XII Diseases of the skin and subcutaneous tissue (L12_)	59257	45135	394476	64	53	1.1108
Cholecystectomy	K11_CHOLECYSTECTOMY	XI Diseases of the digestive system (K11_)	32536	29157	421197	64	52	1.1215
Hyperplasia of prostate	N14_PROSTHYPERPLA	XIV Diseases of the genitourinary system (N14_)	36601	32956	141300	63	58	1.1347
Hallux valgus (acquired)	M13_HALLUXVALGUS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	17421	15886	287796	63	52	1.1681
Coxarthrosis, primary, with hip surgery	M13_ARTHTROSIS_COX_PRIM_HIPSURG	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	18094	16322	429338	63	47	1.1496
Myocardial infarction, strict	I9_MI_STRICT	IX Diseases of the circulatory system (I9_)	28546	26060	378019	63	56	1.1577
First line medication for Crohn's disease	RX_CROHN_1STLINE	Drug purchase endpoints	93616	87509	360117	62	45	1.1422
Depression or dysthymia	F5_DEPRESSION_DYSTHYMIA	V Mental and behavioural disorders (F5_)	63608	54733	236510	62	39	1.2291
Pure hypercholesterolaemia	E4_HYPERCHOL	IV Endocrine, nutritional and metabolic diseases (E4_)	36338	30214	384093	62	52	1.1144
Nontoxic multinodular goitre	E4_GOITREMULTINOD	IV Endocrine, nutritional and metabolic diseases (E4_)	7423	6699	385630	61	54	1.0763
Malignant neoplasm of breast, HER-positive (controls excluding all cancers)	C3_BREAST_ERPLUS_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	12081	10404	201226	61	51	1.0952
Carpal tunnel syndrome	G6_CARPTU	VI Diseases of the nervous system (G6_)	27716	24766	395832	60	45	1.1841
Depression medications	ANTIDEPRESSANTS	Comorbidities of Neurological endpoints	131176	120446	104642	59	55	1.2262
Primary gonarthrosis, bilateral	PRIM_KNEEARTHROSIS	Rheuma endpoints	20783	18563	399163	58	50	1.1672
Pain (limb, back, neck, head abdominally)	PAIN	Miscellaneous, not yet classified endpoints	212869	189683	239973	57	47	1.2365
Other diseases of upper respiratory tract	J10_UPPERDIS	X Diseases of the respiratory system (J10_)	115852	103724	337881	57	40	1.1742
Dorsopathies	M13_DORSOPATHY	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	131419	117411	322314	56	44	1.2296
Coronary angioplasty	I9_ANGIO	IX Diseases of the circulatory system (I9_)	16749	15779	378019	55	47	1.135
Metabolic disorders	E4_METABOLIA	IV Endocrine, nutritional and metabolic diseases (E4_)	69640	59949	384093	54	46	1.1151
KELA_REIMBURSEMENT_202	K11_REIMB_202	Gastrointestinal endpoints	26134	24410	427599	53	46	1.1003
Myotonic disorders	G6_MYOTDIS	VI Diseases of the nervous system (G6_)	247	220	449570	53	49	0.708
Second line medication for Crohn's disease	RX_CROHN_2NDLINE	Drug purchase endpoints	24774	23314	428959	52	47	1.0831
Other intervertebral disc disorders	M13_INTERVERTEB	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	46205	41669	322314	52	43	1.198
Ulcerative colitis (strict definition, require KELA, min 2 HDR)	K11_UC_STRICT2	XI Diseases of the digestive system (K11_)	6435	5931	446419	52	45	1.0875
Migraine, single triptan purchase ok & required. ICD-code if available is included	MIGRAINE_TRIPTAN	Neurological endpoints	49076	44616	404657	51	40	1.1778
Coxarthrosis, primary	M13_ARTHTROSIS_COX_PRIM_ICD10	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	24395	21837	429338	51	43	1.1457
Hypertrophic cardiomyopathy	I9_HYPERTROCARDMYOP	IX Diseases of the circulatory system (I9_)	1245	1125	452488	51	51	1.0105
Hereditary retinal dystrophy	H7_HEREDRETINADYST	VII Diseases of the eye and adnexa (H7_)	460	409	413784	51	45	0.87316
Arthropathies	M13_ARTHROPATHIES	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	165937	149337	287796	50	35	1.2283
Other disorders of veins	I9_VEINSOTH	IX Diseases of the circulatory system (I9_)	15929	13925	392860	49	45	1.1303
Muscular dystrophy	G6_MUSDYST	VI Diseases of the nervous system (G6_)	242	221	449570	49	46	0.72368
Palmar fascial fibromatosis [Dupuytren]	M13_DUPUTRYEN	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	6078	5542	326530	48	43	1.0855
DVT of lower extremities	I9_PHLETHROMBDVTLOW	IX Diseases of the circulatory system (I9_)	7216	6501	392860	48	39	1.0622
Senile cataract	H7_CATARACTSENILE	VII Diseases of the eye and adnexa (H7_)	73410	65235	374263	47	50	1.1131
Mucosal proctocolitis	MUCOPROCT	Gastrointestinal endpoints	4976	4530	432380	46	36	1.0766
Papulosquamous disorders	L12_PAPULOSQUAMOUS	XII Diseases of the skin and subcutaneous tissue (L12_)	16313	14617	437420	46	40	1.0789
Any mental disorder	KRA_PSY_ANYMENTAL	Psychiatric endpoints from Katri Räikkönen	123273	110302	330460	46	37	1.2026
Noninfective enteritis and colitis	K11_ENERCOLNONINF	XI Diseases of the digestive system (K11_)	21353	19207	432380	46	44	1.0853
Other/unspecified seropositive rheumatoid arthritis	RHEUMA_SEROPOS_OTH	Rheuma endpoints	10688	9867	442914	45	42	1.0824
Other dorsopathies, not elsewhere classified	M13_DORSOPATHYOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	99107	87919	322314	45	34	1.2163
Psoriasis	L12_PSORIASIS	XII Diseases of the skin and subcutaneous tissue (L12_)	11479	10312	437420	45	41	1.0909
Actinic keratosis	L12_ACTINKERA	XII Diseases of the skin and subcutaneous tissue (L12_)	13737	12094	438369	45	38	1.093
Nasal polyp	J10_NASALPOLYP	X Diseases of the respiratory system (J10_)	7563	6841	337881	45	42	1.0901
Cardiomyopathy	I9_CARDMYO	IX Diseases of the circulatory system (I9_)	6907	6338	342690	45	41	1.0703
Hypothyroidism, drug reimbursement	HYPOTHY_REIMB	IV Endocrine, nutritional and metabolic diseases (E4_)	14521	13429	104630	45	43	1.0977
Thyrotoxicosis	THYROTOXICOSIS	Comorbidities of Gastrointestinal endpoints	9801	8872	441605	44	38	1.0748
Seropositive rheumatoid arthritis, wide	RHEUMA_SEROPOS_WIDE	Rheuma endpoints	10814	9980	442914	44	41	1.0831
Thyrotoxicosis with diffuse goitre	E4_THYTOXGOITDIF	IV Endocrine, nutritional and metabolic diseases (E4_)	5366	4846	385630	44	38	1.0633
Other coagulation defects	D3_COAGOTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2441	2154	446531	44	43	1.0426
Spondylopathies	M13_SPONDYLOPATHY	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	46755	42066	322314	43	33	1.1954
Alzheimer’s disease, wide definition	G6_AD_WIDE	VI Diseases of the nervous system (G6_)	16902	15617	436831	41	33	1.1034
Other and unspecified coagulation defects	D3_COAGDEFNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	1569	1375	446531	41	39	1.0233
Fracture of forearm	ST19_FRACT_FOREA	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	24647	21495	420692	40	26	1.086
Spinal stenosis	M13_SPINSTENOSIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	23153	20807	322314	40	37	1.1768
Rheumatoid arthritis	M13_RHEUMA	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14818	13621	287796	40	31	1.0921
Age-related macular degeneration (whether dry or wet)	H7_AMD	VII Diseases of the eye and adnexa (H7_)	11023	9721	419198	40	37	1.0811
Sleep apnoea, including avohilmo	G6_SLEEPAPNO_INCLAVO	VI Diseases of the nervous system (G6_)	54698	46975	399035	40	33	1.1923
Diseases of the myoneural junction and muscle	G6_MYONEU	VI Diseases of the nervous system (G6_)	4163	3751	449570	40	38	1.0318
Sensorineural hearing loss	H8_HL_SEN_NAS	VIII Diseases of the ear and mastoid process (H8_)	39620	35488	397865	39	32	1.1033
Cardiomyopathy (excluding other)	FG_CARDMYO	Cardiometabolic endpoints	4845	4458	359571	39	35	1.0686
Dementia	F5_DEMENTIA	V Mental and behavioural disorders (F5_)	20667	19157	428053	39	28	1.0917
Depression	F5_DEPRESSIO	V Mental and behavioural disorders (F5_)	53313	47696	394756	38	27	1.1774
Use of hypnotics and sedatives	RX_N05C	V Mental and behavioural disorders (F5_)	77222	71955	376511	37	36	1.199
Fibroblastic disorders	M13_FIBROBLASTIC	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	9695	8686	326530	37	35	1.0825
Cardiomyopathy, Hypertrophic obstructive	I9_CARDMYOHYP	IX Diseases of the circulatory system (I9_)	608	553	342690	37	38	0.91835
Sleep apnoea	G6_SLEEPAPNO	VI Diseases of the nervous system (G6_)	50200	43901	401484	37	31	1.1904
Hernia of abdominal wall	ABDOM_HERNIA	XI Diseases of the digestive system (K11_)	18835	16839	434898	37	28	1.1032
Wet age-related macular degeneration	WET_AMD	VII Diseases of the eye and adnexa (H7_)	5890	5239	300152	36	29	1.0679
Otosclerosis	H8_OTOSCLE	VIII Diseases of the ear and mastoid process (H8_)	2638	2423	431119	36	31	1.0617
Mood [affective] disorders	F5_MOOD	V Mental and behavioural disorders (F5_)	58977	52891	394756	36	29	1.1857
Dementia, including avohilmo	F5_DEMENTIA_INCLAVO	V Mental and behavioural disorders (F5_)	22462	20338	431271	36	30	1.087
Obesity due to excess calories	E4_OBESITYCAL	IV Endocrine, nutritional and metabolic diseases (E4_)	19661	16976	426022	36	25	1.1673
Intrahepatic Cholestasis of Pregnancy (ICP) , incl. ICD-8	O15_ICP_WIDE	XV Pregnancy, childbirth and the puerperium (O15_)	3114	2784	251504	35	33	1.0475
Polyarthropathies	M13_POLYARTHROPATHIES	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	39202	35408	287796	35	30	1.1329
Tonsillectomy and adenotomy	J10_TONSILLECTOMY	X Diseases of the respiratory system (J10_)	35097	30788	418636	35	36	1.1301
Glaucoma suspect	H7_GLAUCSUSP	VII Diseases of the eye and adnexa (H7_)	13561	11969	430250	35	31	1.0973
Allergic asthma (mode)	ALLERG_ASTHMA	Asthma and related endpoints	11867	10723	248261	35	27	1.1067
Paracetamol of NSAID medication	RX_PARACETAMOL_NSAID	Drug purchase endpoints	382510	348357	71223	34	26	1.1833
Intrahepatic Cholestasis of Pregnancy (ICP) , incl. ICD-8 (more control exclusions)	O15_ICP_WIDE_EXMORE	XV Pregnancy, childbirth and the puerperium (O15_)	3114	2784	159020	34	33	1.051
Any dementia (more control exclusions)	KRA_PSY_DEMENTIA_EXMORE	Psychiatric endpoints from Katri Räikkönen	18216	16209	330460	34	21	1.0875
Asthma-related infections	ASTHMA_INFECTIONS	Asthma and related endpoints	27242	24276	401589	34	30	1.1338
Endometriosis ASRM stages 3,4	N14_ENDOMETRIOSIS_ASRM_STAGE3_4	XIV Diseases of the genitourinary system (N14_)	9150	8315	245468	33	27	1.0908
Myeloproliferative diseases (CML excluded)	MYELOPROF_NONCML	Other, not yet classified endpoints (same as #MISC)	2229	2043	451215	33	30	1.0327
Other joint disorders	M13_OTHERJOINT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	99586	89478	287796	33	26	1.2172
Umbilical hernia	K11_UMBHER	XI Diseases of the digestive system (K11_)	10575	9403	387841	33	32	1.0865
Other arrhythmias	I9_OTHARR	IX Diseases of the circulatory system (I9_)	34881	30845	342690	33	27	1.1015
Diseases of arteries, arterioles and capillaries (FINNGEN)	FG_DOAAC	IX Diseases of the circulatory system (I9_)	26613	24177	231952	33	31	1.1311
Ulcerative colitis, NAS	ULCERNAS	Gastrointestinal endpoints	5473	5003	432380	32	24	1.0633
Endometriosis of ovary	N14_ENDOMETRIOSIS_OVARY	XIV Diseases of the genitourinary system (N14_)	7096	6444	119468	32	29	1.0971
Calculus of kidney and ureter	N14_CALCUKIDUR	XIV Diseases of the genitourinary system (N14_)	11650	10556	441039	32	27	1.0796
Psoriasis vulgaris	L12_PSORI_VULG	XII Diseases of the skin and subcutaneous tissue (L12_)	7143	6408	437420	32	30	1.0779
Unstable angina pectoris	I9_UAP	IX Diseases of the circulatory system (I9_)	15717	14281	402147	32	27	1.1108
Type1 diabetes, definitions combined	T1D	Diabetes endpoints	4526	4320	369007	31	29	1.0291
Endometriosis	N14_ENDOMETRIOSIS	XIV Diseases of the genitourinary system (N14_)	18260	16588	119468	31	32	1.1266
Hereditary deficiency of other clotting factors	D3_HEREDOTHCLOFACTORS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	281	242	446531	31	30	0.76247
Sleep disorders (combined)	SLEEP	Neurological endpoints	57251	49880	391891	30	25	1.1734
Intrahepatic Cholestasis of Pregnancy (ICP)  (more control exclusions)	O15_ICP_EXMORE	XV Pregnancy, childbirth and the puerperium (O15_)	2554	2257	159580	30	22	1.0466
Hypertrophy of breast	N14_HYPERTROPHYBREAST	XIV Diseases of the genitourinary system (N14_)	6544	5800	233585	30	24	1.0946
Calcific aortic valvular stenosis, operated	I9_CAVS_OPERATED	IX Diseases of the circulatory system (I9_)	11047	9870	442686	30	25	1.1027
Familial hypercholesterolemia	E4_FH	IV Endocrine, nutritional and metabolic diseases (E4_)	5834	5344	384093	30	28	1.0651
Coagulation defects, purpura and other haemorrhagic conditions	D3_COAGDEF_PURPUR_HAEMORRHAGIC	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	7202	6419	446531	30	30	1.0348
Congenital malformations of gallbladder, bile ducts and liver	Q17_CONGEN_MALFO_GALLB_BILE_DUCTS_LIVER	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	269	240	452285	29	29	0.73744
Soft tissue disorders	M13_SOFTTISSUE	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	127203	112575	326530	29	25	1.1818
Dorsalgia	M13_DORSALGIA	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	74560	66041	322314	29	16	1.1937
Coeliac disease	K11_COELIAC	XI Diseases of the digestive system (K11_)	4568	4115	433899	29	25	1.0679
Other cataract	H7_CATARACTOTHER	VII Diseases of the eye and adnexa (H7_)	22118	19401	374263	29	19	1.0575
Chronic Coagulation defects	D3_COAGDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	789	697	452944	29	26	0.98132
Childhood asthma (age<16) (more control exclusions)	ASTHMA_CHILD_EXMORE	Asthma and related endpoints	7537	6603	238922	29	26	1.1129
Spondylopathies (FG)	SPONDYLOPATHY_FG	Rheuma endpoints	5703	5154	341375	28	22	1.0666
Excessive, frequent and irregular menstruation	N14_MESNRUIRREG	XIV Diseases of the genitourinary system (N14_)	45284	40413	119468	28	21	1.125
Hypertrophy of breast in women and men	N14_HYPERTROPHYBREAST_BOTH	XIV Diseases of the genitourinary system (N14_)	7631	6777	431613	28	24	1.0856
Obesity, other/unspecified	E4_OBESITYNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	14035	12288	426022	28	19	1.1529
Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	IV Endocrine, nutritional and metabolic diseases (E4_)	2190	1991	336787	28	15	1.0366
Procreative management	Z21_PROCREATIVE_MANAG	XXI Factors influencing health status and contact with health services (Z21_)	15222	13118	354844	27	24	1.1054
Pregnancy hypertension	O15_HYPTENSPREG	XV Pregnancy, childbirth and the puerperium (O15_)	18345	16417	236273	27	21	1.1169
Menorrhagia	N14_MENORRHAGIA	XIV Diseases of the genitourinary system (N14_)	26066	23458	119468	27	23	1.1036
Anxiety disorders (more control exclusions)	KRA_PSY_ANXIETY_EXMORE	Psychiatric endpoints from Katri Räikkönen	50486	44663	330460	27	19	1.1724
Hyperlipidaemia, other/unspecified	E4_HYPERLIPNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	15522	13657	384093	27	20	1.0764
Dry age-related macular degeneration (includes geographic atrophy)	DRY_AMD	VII Diseases of the eye and adnexa (H7_)	7589	6651	298486	27	28	1.0673
Asthma, unspecified (mode)	ASTHMA_NAS	Asthma and related endpoints	27012	23834	248261	27	21	1.127
Seropositive rheumatoid arthritis, strict definition	RHEUMA_SEROPOS_STRICT	Rheuma endpoints	5426	5103	443295	26	21	1.0722
Gout	M13_GOUT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	10888	9568	287796	26	26	1.093
Pulmonary embolism	I9_PULMEMB	IX Diseases of the circulatory system (I9_)	11269	10046	441336	26	19	1.0609
Allergic conjunctivitis	H7_ALLERGICCONJUNCTIVITIS	VII Diseases of the eye and adnexa (H7_)	26125	23665	427608	26	19	1.1171
Gestational diabetes (for exclusion)	GEST_DIABETES	Diabetes endpoints	16802	14718	237816	26	23	1.1039
Systemic atrophies primarily affecting the central nervous system	G6_NEUATR	VI Diseases of the nervous system (G6_)	1305	1190	452428	26	25	1.0057
Other and unspecified primary disorders of muscles	G6_MUSCOTHUNS	VI Diseases of the nervous system (G6_)	230	206	449570	26	21	0.7051
Alzheimer disease	G6_ALZHEIMER	VI Diseases of the nervous system (G6_)	11755	10520	441978	26	24	1.0881
Asthma-related acute respiratory infections	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma and related endpoints	19980	17810	401589	26	20	1.1129
Type1 diabetes, definitions combined, early onset	T1D_EARLY	Diabetes endpoints	2947	2832	450786	25	24	1.0321
Cystic kidney disease	Q17_CYSTIC_KIDNEY_DISEA	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	1027	947	451816	25	22	1.022
Diseases of male genital organs	N14_MALEGEN	XIV Diseases of the genitourinary system (N14_)	57815	51732	141300	25	24	1.0783
Female genital prolapse	N14_FEMGENPROL	XIV Diseases of the genitourinary system (N14_)	20634	18583	119468	25	23	1.1437
COPD	J10_COPD	X Diseases of the respiratory system (J10_)	21617	20066	372627	25	21	1.1473
Phlebitis and thrombophlebitis (not including DVT)	I9_PHLETHROM	IX Diseases of the circulatory system (I9_)	8602	7683	392860	25	19	1.0638
Aortic aneurysm	I9_AORTANEUR	IX Diseases of the circulatory system (I9_)	8923	8125	420324	25	23	1.0835
Other disorders of ear	H8_OTHEREAR	VIII Diseases of the ear and mastoid process (H8_)	55868	49828	397865	25	23	1.0969
Benign neoplasm of colon, rectum, anus and anal canal	CD2_BENIGN_COLORECANI	II Neoplasms from hospital discharges (CD2_)	25190	22254	428543	25	20	1.0937
Malignant neoplasm of breast, HER-negative (controls excluding all cancers)	C3_BREAST_ERNEG_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	8469	6188	201226	25	14	1.0691
Polycythaemia vera	POLYCYTVERA	Other, not yet classified endpoints (same as #MISC)	1084	1004	344463	24	19	0.99146
Ankylosing spondylitis	M13_ANKYLOSPON	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3484	3162	322314	24	22	1.0507
Substance abuse (more control exclusions)	KRA_PSY_SUBSTANCE_EXMORE	Psychiatric endpoints from Katri Räikkönen	27791	25459	330460	24	17	1.1654
Hereditary corneal dystrophies	H7_KERATOCONUS	VII Diseases of the eye and adnexa (H7_)	920	812	429396	24	22	0.98215
Anterior Iridocyclitis	H7_IRIDOCYC_ANTER	VII Diseases of the eye and adnexa (H7_)	7945	7152	445788	24	22	1.0339
Acute and subacute iridocyclitis	H7_IRIDOACUTE	VII Diseases of the eye and adnexa (H7_)	7516	6755	429396	24	23	1.0388
Other and unspecified spinal muscular atrophies	G6_SPINAMUSCOTH	VI Diseases of the nervous system (G6_)	266	245	452428	24	23	0.74559
Codeine or tramadol medication	RX_CODEINE_TRAMADOL	Drug purchase endpoints	72282	66772	381451	23	13	1.1885
Peritonsillar abscess	J10_PERITONSABSC	X Diseases of the respiratory system (J10_)	9339	8329	337881	23	20	1.0867
